"year","fips","total_population","land_area","pop_density","pop_65_74","pop_75_84","pop_85_up","black_pop","hispanic_pop","hh_inc","gini3","home_value","poor_renter_units","no_burden_info4","pov_universe","extreme_pov_pop","pov_pop","owner_units","burdened_owners1","burdened_owners2","poor_burdened_renters","renter_units","burdened_renters"
"2007","01003",171769,107.601312807871,1596.3466942704,14610,10467,3113,17692,,49119,0.46000000834465,182100,3411,2988,169255,5727,17391,53470,13707,7330,3206,12436,7025
"2007","01015",113103,185.883626334317,608.46133804481,8605,6055,1659,22163,,37074,0.451999992132187,94200,5417,1757,109826,8372,19092,32728,6938,3746,5035,11928,5784
"2007","01043",80554,109.088491474603,738.428031326786,6991,3945,1789,377,,39095,0.44200000166893,106800,2391,1697,80027,2676,10946,24213,5246,3454,1668,5303,2228
"2007","01049",68016,87.4339637588,777.912805001413,5101,3500,1033,671,,35680,0.46000000834465,82800,1978,1102,67817,4566,14512,18909,3265,1842,1139,4990,1457
"2007","01051",77525,124.787606534915,621.255605045274,4844,2788,1058,17233,,49495,0.400000005960464,139100,951,1476,71712,3553,7456,19199,4648,2754,943,4391,1384
"2007","01055",103217,192.993047650526,534.8223744666,8228,5742,2423,14753,,34637,0.44200000166893,95600,4684,1648,101076,7587,18010,30934,6680,4174,3752,10045,4346
"2007","01069",97171,167.432378501278,580.359670392295,7423,4963,1891,24871,,40261,0.455000013113022,113800,3698,554,95324,4447,15217,25609,4730,2592,3056,9921,4158
"2007","01073",658779,592.103874983936,1112.60714180915,43496,32190,12124,270992,18975,44925,0.486999988555908,140000,28227,6314,643631,38050,97622,180326,47360,30154,24819,77414,38975
"2007","01077",88561,132.287053480935,669.460825301121,7646,5361,1280,,,36899,0.488000005483627,102100,4101,2210,87367,7869,16682,25980,5892,3630,3378,8199,3620
"2007","01081",130516,214.413998842793,608.710255414311,6486,3523,1232,29406,,39355,0.456999987363815,135500,8466,1734,124860,12113,22074,33535,8345,3722,7036,20145,10169
"2007","01083",73898,130.09079927293,568.04939636786,4721,2752,1022,,,46583,0.40599998831749,115600,2249,654,71295,2004,8688,19911,3837,2606,1587,5312,1907
"2007","01089",312734,388.526866239566,804.922457555788,22546,11648,4187,74627,8577,51931,0.437999993562698,150600,11691,3506,303191,13150,35119,85632,16197,9760,10189,32577,14116
"2007","01095",87644,154.558663356513,567.059769388893,6774,4117,1439,2091,,34153,0.477999985218048,98300,4445,1403,86917,8348,19970,24452,5143,3302,3694,7670,4295
"2007","01097",404406,327.961224416946,1233.09089578793,26576,16820,6143,138863,6706,37391,0.477999985218048,114700,18132,5076,396101,39289,83657,103140,25939,14492,15176,42287,21840
"2007","01101",225791,285.89707766949,789.763231721537,13804,9242,3768,121111,,41143,0.493000000715256,121300,11536,2575,214474,15770,38604,56637,15262,9790,10159,28826,14301
"2007","01103",115050,197.607955391835,582.213402147037,8834,5304,1725,12921,,42990,0.416999995708466,107100,3565,1247,114247,3072,17623,34038,6007,2930,2503,9974,3057
"2007","01115",76609,120.881624139777,633.752239392615,4764,3199,522,,,50829,0.398000001907349,117300,738,1174,74572,2389,6988,21515,4422,3220,615,3735,910
"2007","01117",182113,229.16106171904,794.694345688088,9518,4328,2189,18401,,66391,0.44200000166893,196900,3261,1553,180627,4872,12809,56432,13160,7260,2536,12047,4984
"2007","01121",80255,108.521354243254,739.531869645728,5953,3851,1210,,,39297,0.439000010490417,83700,3943,973,76871,5831,13671,22681,4397,2966,3216,7503,3752
"2007","01125",177906,134.332467959605,1324.37081445937,10448,7725,1402,54558,,40943,0.479999989271164,149900,11572,1452,169830,16976,32514,45044,10579,7310,10201,24292,13978
"2007","01127",68816,86.6273401555405,794.391238106123,5755,3447,1516,,,34478,0.504999995231628,81800,2258,1308,68458,6635,14306,19715,4760,1808,1784,4478,2206
"2007","02020",279671,164.782312792295,1697.21492107299,11065,5108,1945,17642,21996,68726,0.412000000476837,277500,7523,1971,274912,7936,20113,62220,19705,12076,7080,38520,17337
"2007","02090",97484,13.2338818084657,7366.24381348485,3425,1661,241,5514,6111,65327,0.388999998569489,213500,1963,1464,91325,3547,5950,19269,5614,2726,1740,12751,5406
"2007","02170",82669,3.34942647902458,24681.5389194853,3963,1596,545,493,2893,65321,0.386000007390976,221000,982,617,81503,3578,7188,17740,5561,3968,861,3682,1709
"2007","04001",69980,6.24549356361199,11204.8790519493,4674,2133,730,152,,30534,0.462000012397766,79300,947,646,68808,13119,23286,14194,1493,622,560,3446,719
"2007","04003",127866,20.7256788633988,6169.44809589851,11495,7090,2802,5030,40158,44499,0.425000011920929,156100,4033,1087,123220,8327,19046,33419,7873,5376,3812,13332,6841
"2007","04005",127450,6.84573763749886,18617.4239722346,6664,2710,971,652,15195,49633,0.439999997615814,288500,3708,874,123538,8995,19890,27513,8168,5346,3541,14429,6860
"2007","04013",3880181,421.61500585722,9203.13780604389,222272,152071,57867,169619,1182656,54730,0.446999996900558,268900,98981,13686,3834022,234829,501988,904477,307625,223040,93523,406365,206390
"2007","04015",194944,14.6446252473648,13311.6414184158,21537,15232,3898,1336,27388,39991,0.430000007152557,204600,4140,2192,190205,11230,24004,50793,14616,10082,3818,19748,10172
"2007","04017",111273,11.1796413862498,9953.18151589892,7913,4314,1078,1458,,40190,0.421999990940094,126900,2226,1407,108481,12675,24730,24116,4494,1290,1468,8480,2120
"2007","04019",967089,105.275535613875,9186.2653023875,70270,54398,18546,31907,316229,43546,0.458999991416931,210700,42782,5896,948471,68352,142304,236973,69773,44384,38698,128050,67412
"2007","04021",299246,55.7297200235708,5369.59453364263,21654,15988,2760,9959,88672,50228,0.388999998569489,197500,6210,3291,280904,16355,34661,83144,25205,15742,5578,24222,10430
"2007","04025",212635,26.175934488841,8123.30119830671,23766,17895,5906,867,27491,44408,0.428000003099442,253400,6145,1149,209699,12609,27502,59936,18859,12262,5586,23538,12562
"2007","04027",190557,34.5582014795385,5514.08903940868,16945,13927,3791,3061,105831,40733,0.414000004529953,151600,5126,1804,184318,13095,32464,48894,12973,8120,3999,18830,8116
"2007","05007",203107,240.080919416429,845.993927771094,12494,8716,2707,2696,28676,48373,0.437999993562698,163200,5335,1358,200198,7435,24916,52078,11411,5836,5005,19485,8007
"2007","05031",91552,128.794180467491,710.839571071372,5752,3819,1213,10074,,40873,0.449999988079071,103900,5785,1518,87593,7024,14150,23273,3258,1738,4991,11139,5939
"2007","05045",104865,161.984068100315,647.378481290261,5662,3032,1319,11394,,44280,0.46000000834465,135600,5214,1060,99133,6601,16273,25523,5074,3338,4930,11720,6074
"2007","05051",96371,142.303267182454,677.222680182302,9677,7850,2889,8605,,34947,0.469999998807907,127000,5508,1618,95301,5239,18010,25505,5355,3136,4474,11518,5744
"2007","05069",78986,89.2683472539312,884.815306094082,5121,3682,1275,41074,,36725,0.444000005722046,69400,5116,1072,75881,8990,18978,18212,3203,2310,4784,10033,5444
"2007","05119",373911,485.08157538224,770.820865965402,23920,14385,6108,129784,15127,44754,0.476999998092651,134700,18947,2664,369054,20356,57310,97000,20759,13552,16458,50974,24986
"2007","05125",96212,132.988395733788,723.461618354989,7380,4432,1121,4641,,50094,0.382999986410141,122300,2130,1312,94560,4320,11287,26879,4380,1668,2057,6935,3167
"2007","05131",121766,227.072231314248,536.243464448484,8164,5164,2057,7229,,39919,0.486000001430511,108900,7031,1180,120318,7655,19688,28227,5100,2658,5177,18055,7501
"2007","05143",194292,204.578785747315,949.717241160963,10361,6135,2382,5801,25639,42689,0.462999999523163,161000,9493,1107,185860,12020,29589,44078,9007,6964,8916,29178,13314
"2007","05145",73441,71.0240893081141,1034.0294499434,5178,3925,976,3326,,36859,0.430000007152557,91200,2706,1533,68607,3003,10412,17804,2921,1930,1902,7199,2811
"2007","06001",1464202,1985.16447976592,737.57213315274,81529,52006,23325,189722,312752,68740,0.458000004291534,651800,51545,6887,1430125,73846,157927,296754,131577,108662,46419,209856,106397
"2007","06007",218779,133.443454639185,1639.48843044833,14843,11642,5689,3312,27388,39529,0.462999999523163,288100,12823,1706,214883,14429,36015,50196,19206,11354,11927,32915,21146
"2007","06013",1019640,1416.27280331672,719.946042607147,63281,40127,17053,93122,228114,76436,0.45100000500679,622200,21030,2733,1009606,43346,89483,259008,121035,101528,18893,101907,55668
"2007","06017",175689,102.691238467084,1710.84702670437,11199,6046,2649,828,20056,64188,0.428000003099442,506500,3543,359,174269,7012,15690,48700,23292,16020,3271,18193,8575
"2007","06019",899348,150.828344282478,5962.72540336094,43893,29254,14014,44318,433427,47298,0.456000000238419,296300,39904,5425,880659,73517,176194,156121,57985,41934,36345,116707,62794
"2007","06023",128864,36.0712238571139,3572.48760148696,8168,5084,2770,1482,10497,36870,0.474999994039536,321000,6089,2391,125131,9374,20887,30201,9175,6650,5776,18530,11230
"2007","06025",161867,38.7730237992599,4174.73243350934,8269,6313,2143,5209,123318,31912,0.477999985218048,247000,11079,1035,151097,13880,32564,22774,8850,5806,9017,22085,11732
"2007","06029",790710,97.1273121742499,8140.9644959745,37854,23392,8316,46146,365836,47105,0.448000013828278,256800,25314,4755,750685,59846,136006,147433,59866,48966,24075,85742,42092
"2007","06031",148875,107.027876925118,1390.99274205131,5947,3505,1159,11882,71812,46756,0.40200001001358,240700,4182,2098,127644,6969,19310,23136,8926,6082,3637,13240,6089
"2007","06033",64664,51.4039083305669,1257.95882258914,6246,3876,1046,1177,,40946,0.439999997615814,301800,2206,729,63706,3655,9904,16763,6995,4118,1712,5747,3554
"2007","06037",9878554,2432.61948268904,4060.87103646812,533723,360173,135714,872098,4677411,53573,0.493000000715256,589100,392676,39232,9729065,583253,1426762,1550387,715734,655308,364830,1556668,864580
"2007","06039",146513,68.5966777512777,2135.86145572875,7140,5569,2156,5799,73536,44975,0.455000013113022,332200,3643,1480,137699,9220,19904,26983,11474,6724,3298,14520,7500
"2007","06041",248096,477.288531915827,519.802977465533,19989,13442,5208,7865,33956,83870,0.497000008821487,918700,5498,1350,240119,7776,15331,64575,27596,23770,4594,32892,17981
"2007","06045",86273,24.586414598018,3508.97035661941,6150,4737,1582,318,,42941,0.428000003099442,469000,3338,544,83990,4343,12480,21274,8354,7652,2747,11587,5870
"2007","06047",245514,127.295429766236,1928.69453719477,12221,7814,3135,9136,128742,44410,0.462999999523163,323700,10704,2696,241069,17511,46817,41213,18192,15480,9802,28805,16537
"2007","06053",407637,122.710039450016,3321.95313298749,20164,15875,4755,13123,212688,57056,0.453999996185303,658700,9460,2322,388555,14888,45120,64401,31194,29914,8522,58488,28441
"2007","06055",132565,175.877800261285,753.733557066674,9678,6022,3942,2512,39089,62081,0.462000012397766,643400,2969,1001,126104,4864,12113,32132,14650,12476,2532,15767,8169
"2007","06057",97027,101.3217412182,957.61283643013,8730,6535,2218,394,,59150,0.405000001192093,477900,1796,488,95419,3403,8961,28056,12326,12684,1668,10684,5666
"2007","06059",2997033,3796.57549092135,789.404295309476,175257,113541,42982,52818,998032,73263,0.456999987363815,670600,50021,10062,2952969,104720,263300,609247,262186,217738,46365,348048,191960
"2007","06061",332920,237.060489254098,1404.36730324619,24575,17877,6631,4828,38808,69076,0.416999995708466,483700,6034,1379,331537,8760,20267,89164,37970,27764,5549,35824,18520
"2007","06065",2073571,287.70151771937,7207.36899977915,110955,94341,27783,126648,896116,58145,0.441000014543533,406300,40960,7135,2038160,90671,239231,449503,218582,178492,37204,187730,105932
"2007","06067",1386667,1435.9909759038,965.651611513258,77967,54471,21255,140486,272182,56987,0.421000003814697,370600,51377,5118,1358323,65572,165031,306704,129079,94150,45524,189253,102241
"2007","06071",2007800,100.127186661183,20052.495899981,90152,56678,18719,177042,938798,56428,0.40599998831749,387000,43480,8821,1960812,98272,231662,384298,174293,142176,40827,195081,106747
"2007","06073",2974859,708.31816934173,4199.89085239005,159487,123524,47709,149870,901369,61794,0.45100000500679,556500,90358,15199,2879301,139552,320378,581643,258077,209816,84297,440003,243764
"2007","06075",764976,16382.5836986848,46.6944661519667,52070,40161,18649,51103,106914,68023,0.518999993801117,830700,40166,5052,758003,31952,79536,121328,52221,42420,33692,192380,82125
"2007","06077",670990,479.524387930314,1399.28232408799,34019,23075,9453,51058,244129,52470,0.435999989509583,399500,19026,3818,651326,28807,92159,130681,61232,55958,17508,71529,39578
"2007","06079",262436,79.4220556089064,3304.32142542745,18189,13355,6238,5322,49364,56952,0.467999994754791,578900,10633,2790,243449,15225,28729,59468,23644,18768,10343,41441,24572
"2007","06081",706984,1574.3408752304,449.066660926614,46896,30248,15557,21160,162508,83109,0.469999998807907,843100,10852,2784,701804,16576,41057,155215,64880,53814,10063,91987,42435
"2007","06083",404197,147.678228638964,2737.0114317132,24969,20347,6617,6124,156500,58401,0.46900001168251,641800,14162,3862,389736,20688,46538,75839,32235,27622,13012,61452,37069
"2007","06085",1748976,1355.07310624772,1290.68755917016,101651,62976,22120,44510,449133,84360,0.451999992132187,758100,38073,5643,1715539,68333,143154,352848,147411,118528,33630,218896,102418
"2007","06087",251747,565.41689141724,445.241385288272,13305,9265,3753,1640,72453,63778,0.462999999523163,756800,7559,1170,243081,10913,24551,55748,25804,21490,6880,36503,20614
"2007","06089",179427,47.4023169716801,3785.19472175161,13652,9276,3975,1541,,41901,0.448000013828278,255500,6882,1629,176751,8183,22551,44423,16860,15990,6064,23131,12283
"2007","06095",408599,492.768809929292,829.190061884457,23538,15523,5264,61788,89728,66880,0.398999989032745,479500,9970,1986,395011,16419,37888,90775,39301,31024,9134,42363,25284
"2007","06097",464435,294.715013222476,1575.87832028565,27687,21895,10278,5562,104862,62399,0.437999993562698,613900,12981,3631,458094,18650,40761,109636,48612,38046,11628,63960,33497
"2007","06099",511263,342.258800391514,1493.79066196446,27201,18534,6833,14453,199543,50616,0.42399999499321,358500,16934,2331,503706,30068,67803,100171,46192,33538,15885,54021,29639
"2007","06101",92040,152.752508115555,602.543297884006,5951,4047,1337,1421,24985,51382,0.419999986886978,292700,2762,347,91464,3690,9051,20647,8065,6686,2624,10098,4719
"2007","06107",421553,87.3871922189018,4823.96778402062,20772,13098,6048,7086,239066,40595,0.451999992132187,235100,15033,2496,415546,37044,98497,72095,28011,21588,13362,46988,23345
"2007","06111",798364,432.647488574336,1845.29905080641,47190,29305,12659,14744,296745,73250,0.432000011205673,641300,13216,3969,789366,21064,67077,172439,75320,66480,11760,77928,42141
"2007","06113",195844,193.279655881364,1013.26753251366,9540,5711,2780,4904,54767,59384,0.451999992132187,444100,8204,1161,189338,13916,27910,37899,13059,9006,7244,29106,15654
"2007","06115",72098,114.315389217661,630.693736804958,3194,2068,866,1359,16245,42712,0.428999990224838,284100,3624,682,70330,5681,14935,13169,5200,2944,2813,10300,5707
"2007","08001",422495,354.462987262312,1191.92980701069,19646,10351,3481,12854,148908,52110,0.40200001001358,199900,11405,815,417398,29139,57945,102765,41900,28696,10619,41143,19878
"2007","08005",545089,678.693548466163,803.144513796975,29722,18030,7535,53233,93230,58795,0.448000013828278,235500,17257,1571,537845,29774,64610,139645,44397,27112,16278,65703,34007
