"fips","year","med_rent_2br"
"01001","2007",667
"01001","2008",708
"01001","2009",757
"01001","2010",788
"01001","2011",788
"01001","2012",781
"01001","2013",860
"01001","2014",761
"01001","2015",845
"01001","2016",840
"01001","2017",886
"01001","2018",890
"01003","2007",691
"01003","2008",735
"01003","2009",785
"01003","2010",818
"01003","2011",818
"01003","2012",752
"01003","2013",786
"01003","2014",913
"01003","2015",831
"01003","2016",935
"01003","2017",1047
"01003","2018",929
"01005","2007",479
"01005","2008",509
"01005","2009",544
"01005","2010",567
"01005","2011",567
"01005","2012",499
"01005","2013",624
"01005","2014",623
"01005","2015",713
"01005","2016",678
"01005","2017",722
"01005","2018",706
"01007","2007",619
"01007","2008",749
"01007","2009",757
"01007","2010",797
"01007","2011",832
"01007","2012",813
"01007","2013",857
"01007","2014",811
"01007","2015",844
"01007","2016",914
"01007","2017",937
"01007","2018",955
"01009","2007",619
"01009","2008",749
"01009","2009",757
"01009","2010",797
"01009","2011",832
"01009","2012",813
"01009","2013",857
"01009","2014",811
"01009","2015",844
"01009","2016",914
"01009","2017",937
"01009","2018",955
"01011","2007",513
"01011","2008",544
"01011","2009",581
"01011","2010",605
"01011","2011",605
"01011","2012",499
"01011","2013",478
"01011","2014",566
"01011","2015",599
"01011","2016",569
"01011","2017",664
"01011","2018",643
"01013","2007",513
"01013","2008",544
"01013","2009",581
"01013","2010",605
"01013","2011",605
"01013","2012",499
"01013","2013",583
"01013","2014",566
"01013","2015",599
"01013","2016",576
"01013","2017",654
"01013","2018",640
"01015","2007",521
"01015","2008",556
"01015","2009",594
"01015","2010",619
"01015","2011",619
"01015","2012",676
"01015","2013",681
"01015","2014",725
"01015","2015",716
"01015","2016",676
"01015","2017",672
"01015","2018",721
"01017","2007",484
"01017","2008",514
"01017","2009",549
"01017","2010",572
"01017","2011",571
"01017","2012",589
"01017","2013",683
"01017","2014",696
"01017","2015",739
"01017","2016",731
"01017","2017",797
"01017","2018",738
"01019","2007",523
"01019","2008",553
"01019","2009",590
"01019","2010",614
"01019","2011",613
"01019","2012",499
"01019","2013",523
"01019","2014",579
"01019","2015",695
"01019","2016",654
"01019","2017",689
"01019","2018",686
"01021","2007",472
"01021","2008",571
"01021","2009",611
"01021","2010",644
"01021","2011",644
"01021","2012",591
"01021","2013",639
"01021","2014",566
"01021","2015",609
"01021","2016",650
"01021","2017",658
"01021","2018",706
"01023","2007",453
"01023","2008",481
"01023","2009",514
"01023","2010",536
"01023","2011",536
"01023","2012",656
"01023","2013",756
"01023","2014",709
"01023","2015",748
"01023","2016",709
"01023","2017",725
"01023","2018",725
"01025","2007",484
"01025","2008",515
"01025","2009",550
"01025","2010",573
"01025","2011",572
"01025","2012",499
"01025","2013",581
"01025","2014",566
"01025","2015",599
"01025","2016",569
"01025","2017",621
"01025","2018",606
"01027","2007",486
"01027","2008",517
"01027","2009",552
"01027","2010",575
"01027","2011",575
"01027","2012",499
"01027","2013",541
"01027","2014",566
"01027","2015",599
"01027","2016",569
"01027","2017",621
"01027","2018",606
"01029","2007",486
"01029","2008",517
"01029","2009",552
"01029","2010",575
"01029","2011",575
"01029","2012",533
"01029","2013",693
"01029","2014",651
"01029","2015",727
"01029","2016",671
"01029","2017",705
"01029","2018",691
"01031","2007",527
"01031","2008",559
"01031","2009",598
"01031","2010",623
"01031","2011",622
"01031","2012",557
"01031","2013",669
"01031","2014",631
"01031","2015",669
"01031","2016",640
"01031","2017",718
"01031","2018",686
"01033","2007",540
"01033","2008",575
"01033","2009",614
"01033","2010",640
"01033","2011",639
"01033","2012",623
"01033","2013",609
"01033","2014",663
"01033","2015",649
"01033","2016",653
"01033","2017",713
"01033","2018",713
"01035","2007",453
"01035","2008",481
"01035","2009",514
"01035","2010",536
"01035","2011",536
"01035","2012",626
"01035","2013",606
"01035","2014",566
"01035","2015",599
"01035","2016",569
"01035","2017",621
"01035","2018",606
"01037","2007",480
"01037","2008",509
"01037","2009",544
"01037","2010",567
"01037","2011",567
"01037","2012",575
"01037","2013",582
"01037","2014",566
"01037","2015",615
"01037","2016",605
"01037","2017",714
"01037","2018",679
"01039","2007",475
"01039","2008",504
"01039","2009",538
"01039","2010",560
"01039","2011",560
"01039","2012",504
"01039","2013",606
"01039","2014",583
"01039","2015",640
"01039","2016",620
"01039","2017",666
"01039","2018",634
"01041","2007",513
"01041","2008",544
"01041","2009",581
"01041","2010",605
"01041","2011",605
"01041","2012",544
"01041","2013",611
"01041","2014",601
"01041","2015",599
"01041","2016",569
"01041","2017",621
"01041","2018",606
"01043","2007",504
"01043","2008",532
"01043","2009",569
"01043","2010",592
"01043","2011",591
"01043","2012",551
"01043","2013",618
"01043","2014",619
"01043","2015",650
"01043","2016",652
"01043","2017",709
"01043","2018",674
"01045","2007",486
"01045","2008",517
"01045","2009",552
"01045","2010",575
"01045","2011",575
"01045","2012",519
"01045","2013",647
"01045","2014",612
"01045","2015",644
"01045","2016",618
"01045","2017",672
"01045","2018",652
"01047","2007",502
"01047","2008",532
"01047","2009",569
"01047","2010",592
"01047","2011",591
"01047","2012",547
"01047","2013",651
"01047","2014",600
"01047","2015",607
"01047","2016",569
"01047","2017",639
"01047","2018",606
"01049","2007",485
"01049","2008",516
"01049","2009",551
"01049","2010",574
"01049","2011",573
"01049","2012",520
"01049","2013",616
"01049","2014",615
"01049","2015",731
"01049","2016",617
"01049","2017",836
"01049","2018",606
"01051","2007",667
"01051","2008",708
"01051","2009",757
"01051","2010",788
"01051","2011",788
"01051","2012",781
"01051","2013",860
"01051","2014",761
"01051","2015",845
"01051","2016",840
"01051","2017",886
"01051","2018",890
"01053","2007",461
"01053","2008",489
"01053","2009",523
"01053","2010",545
"01053","2011",545
"01053","2012",521
"01053","2013",637
"01053","2014",598
"01053","2015",615
"01053","2016",586
"01053","2017",650
"01053","2018",623
"01055","2007",536
"01055","2008",569
"01055","2009",608
"01055","2010",634
"01055","2011",633
"01055","2012",657
"01055","2013",710
"01055","2014",639
"01055","2015",662
"01055","2016",685
"01055","2017",778
"01055","2018",709
"01057","2007",453
"01057","2008",481
"01057","2009",514
"01057","2010",536
"01057","2011",536
"01057","2012",522
"01057","2013",553
"01057","2014",566
"01057","2015",599
"01057","2016",569
"01057","2017",621
"01057","2018",606
"01059","2007",474
"01059","2008",503
"01059","2009",538
"01059","2010",560
"01059","2011",560
"01059","2012",499
"01059","2013",610
"01059","2014",598
"01059","2015",611
"01059","2016",573
"01059","2017",636
"01059","2018",615
"01061","2007",504
"01061","2008",534
"01061","2009",570
"01061","2010",594
"01061","2011",593
"01061","2012",618
"01061","2013",591
"01061","2014",594
"01061","2015",681
"01061","2016",701
"01061","2017",710
"01061","2018",748
"01063","2007",642
"01063","2008",684
"01063","2009",731
"01063","2010",762
"01063","2011",761
"01063","2012",796
"01063","2013",831
"01063","2014",868
"01063","2015",808
"01063","2016",569
"01063","2017",621
"01063","2018",606
"01065","2007",642
"01065","2008",684
"01065","2009",731
"01065","2010",762
"01065","2011",761
"01065","2012",796
"01065","2013",831
