GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02000","Alaska",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",40973821,42881029,42150502,43735330,45051599,48517052,51114032,50883986,55837631,54151395,54645719,57670130,54750013,53272977,53798671,52710723,52727361,53092380
 "02000","Alaska",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",32628226,34222168,33293128,34850120,35981438,39351151,41921299,41616559,46246872,44507678,44655368,47420812,44935172,43489370,44254785,43211973,43337160,43716638
 "02000","Alaska",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",456016,411774,434354,373722,417015,433580,368646,415624,416604,471111,543095,497463,486876,457318,428064,376002,360003,372812
 "02000","Alaska",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",8635467,11507648,8733945,10105961,10634071,13767676,15384734,14244362,18597882,15507916,15850333,18212614,15469573,13781620,13621947,12872885,13796977,12856799
 "02000","Alaska",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",490196,498638,499708,518013,495106,523923,518386,560768,569743,629866,717516,741568,723795,693426,671182,715726,703905,707206
 "02000","Alaska",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",2255577,2321640,2461104,2462439,2454333,2246952,2212798,2147771,2220459,2224981,2100240,2007056,1839926,1826971,1853258,1653862,1485557,1533914
 "02000","Alaska",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",1655985,1673922,1854580,1965935,1743831,1826825,1956769,1868793,1868651,1316495,1036253,983186,1345730,1628634,1869876,1717384,1728815,1764895
 "02000","Alaska",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",121232,121116,139534,147492,163500,164223,182471,191040,187220,173599,163114,195014,199208,203991,228327,212362,202933,198943
 "02000","Alaska",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",1573930,1593481,1756087,1862220,1603831,1689795,1801337,1699140,1704153,1147392,874035,788172,1149050,1431401,1650251,1512261,1536207,1578077
 "02000","Alaska",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",965648,977849,1005642,1068512,1126144,1173466,1241622,1258467,1091950,1185931,1183483,1167397,1226029,1228492,1230173,1225263,1229494,1289659
 "02000","Alaska",8,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",1974513,2117751,2207635,2115531,2172440,2121176,2069853,2039295,2074021,2107332,2074737,2040202,2061336,2080119,2148159,2160280,2191057,2239971
 "02000","Alaska",8,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",5240400,4242517,4365604,4546403,4541860,4643268,5094888,5715525,5186021,5854924,5231558,5432646,5199618,5177294,5497454,5657547,5764202,6177947
 "02000","Alaska",8,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",646836,702975,745539,846098,967097,1006700,1059479,1128256,1065411,1108204,1146538,1169592,1278356,1328182,1524302,1541142,1522070,1518218
 "02000","Alaska",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",4289734,4370241,4518885,4360996,4715246,4503128,4699295,4789202,5107714,5484056,5759420,5816255,5811553,5830512,5725258,5646565,5424396,5444014
 "02000","Alaska",8,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",1029199,1108787,1270331,1100084,1384177,1206223,1149766,1097849,1158766,1080722,1093188,1123622,1071592,1118372,1081710,947384,967442,909562
 "02000","Alaska",8,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",3273272,3272440,3255603,3273103,3336772,3305547,3560107,3702111,3959368,4404387,4665882,4692633,4740676,4711294,4643669,4710291,4460206,4548531
 "02000","Alaska",8,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",2294039,2362764,2359595,2404938,2499038,2547744,2704889,3015221,3125431,3341820,3463740,3519019,3533418,3503457,3437836,3111391,3041530,3065524
 "02000","Alaska",8,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",1286878,1374787,1391713,1438902,1471081,1474796,1565743,1800237,1857050,1961555,2072980,2093645,2108225,2089552,2026614,1810354,1756667,1775519
 "02000","Alaska",8,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",404629,355333,286599,267077,254158,302535,287351,301596,310001,332989,338482,358521,361311,372730,381386,357661,367282,371845
 "02000","Alaska",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",639198,657238,687920,701369,771322,772389,851967,913629,958477,1047088,1052308,1066852,1063899,1041647,1030642,944147,919524,920620
 "02000","Alaska",8,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",2090624,2229579,2408237,2588304,2640623,2716810,2720942,2868157,3025429,3157182,3368581,3484936,3604626,3571863,3712746,3843131,3946168,4134938
 "02000","Alaska",8,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",169322,175216,176035,179192,170073,170879,167684,167076,172512,181911,181293,181331,182358,175319,175321,174892,174444,174412
 "02000","Alaska",8,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",1926349,2058980,2235459,2411482,2471792,2546921,2554047,2701443,2853164,2975588,3187335,3303605,3422320,3396748,3537939,3669109,3772923,3962384
 "02000","Alaska",8,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",1361941,1459236,1502134,1523571,1503885,1540789,1561974,1657755,1518290,1533775,1536111,1569041,1605672,1636842,1664938,1621200,1549041,1566272
 "02000","Alaska",8,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",165493,177678,190775,201656,209548,205633,220334,224257,220728,229937,253853,264089,286667,282627,274496,277306,278863,285422
 "02000","Alaska",8,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",1198204,1283422,1312854,1322895,1294646,1335987,1341902,1434099,1297804,1304032,1282281,1304952,1319121,1354161,1390084,1343845,1270722,1281589
 "02000","Alaska",8,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",881519,928556,880147,866347,864030,856369,828715,791267,784530,784062,763735,779836,786592,800439,789275,763627,750612,757580
 "02000","Alaska",8,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",8475881,8796532,8983153,9015800,9200660,9253320,9243832,9337433,9596942,9644108,9999725,10249319,9815296,9782802,9571379,9500245,9409880,9406592
 "02000","Alaska",8,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",9132711,11835331,9170559,10456185,11026133,14184631,15751432,14639307,19004018,15976375,16385654,18710077,15956164,14239305,14044075,13215255,14081673,13181779
 "02000","Alaska",8,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",2949134,3109425,3228722,3191541,3304619,3296998,3309411,3294227,3166382,3293297,3258218,3207600,3287450,3308665,3378382,3385599,3420500,3530242
 "02000","Alaska",8,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",5708476,4736348,4858847,5057346,5025956,5159587,5594460,6252349,5744613,6469978,5949211,6174214,5923272,5870454,6167178,6371196,6467327,6886445
 "02000","Alaska",8,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02000","Alaska",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",12708676,15188978,13141799,14488356,14875799,17990915,19661848,18383399,22911638,19417856,19483300,21700319,19126494,17663850,17831629,16556115,17000248,16334596
 "02000","Alaska",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",20025614,19799442,20418388,20764034,21520180,21608443,22456029,23756470,23540089,25162376,25244963,25720493,25824887,25841546,26383673,26274999,26107118,26902668
