GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000","Arizona",6,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",212656162,219311274,233342034,243245974,263060963,277288250,284907039,277477106,255080727,257484745,263211147,268288824,270148915,273677120,280229518,289230418,299405667,311705618
 "04000","Arizona",6,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",180240776,186089597,198952991,208130608,226508978,239686783,246606072,238266624,217845839,219687066,225494836,230467987,232746364,237380894,244350437,252751954,262271620,274210571
 "04000","Arizona",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",2338957,2654014,2436246,2863473,3019520,2856459,2616433,2007310,1979343,2160336,2482165,1903855,2287374,2220696,2765315,3540263,3200545,2996072
 "04000","Arizona",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",4120074,3740939,4002459,4651276,5972633,7066400,7269006,6872344,5759766,6604160,7067181,6433215,6327425,6560868,5316605,4752988,6037329,6073979
 "04000","Arizona",6,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",4165233,4244798,4164445,4461043,4349871,4787260,5217555,5462854,5281040,5759120,6053704,6200150,6120123,5722896,5718433,6219504,6243065,6206396
 "04000","Arizona",6,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",17232052,16944126,17495664,19071975,22018050,23816722,23019801,18392907,12106013,10226761,9884942,9304006,10032227,9885190,10135833,10867560,11887641,12670752
 "04000","Arizona",6,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",16388047,17069809,21102687,18757025,18383367,20911271,23624484,23515683,20356006,22269659,23481826,24413435,22047767,23731946,25136196,25889093,26262860,28156901
 "04000","Arizona",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",12832209,13584009,17344230,15131623,14630336,16652952,18471979,18698778,15591619,17684272,18921908,20312992,18609808,19982263,21055621,21809208,22150679,23671454
 "04000","Arizona",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",3756187,3500349,3353054,3457818,3708614,4202282,5233524,4798067,4858441,4619710,4576190,4100442,3439779,3750589,4076107,4085322,4120115,4487276
 "04000","Arizona",6,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",13488795,13764893,14716006,15606733,16278295,16803090,18022388,17588506,15574124,15851472,15827060,16698295,16234340,16299884,16644807,17155572,17892475,18111203
