GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "06000","California",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1702775684,1743650572,1825424001,1902318814,1990140775,2072176996,2103618233,2111137962,2026486926,2058137866,2091585974,2144497264,2220867647,2312540069,2428598371,2500950427,2610682250,2721651005
 "06000","California",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",1451849331,1487722779,1565408782,1640863818,1726289165,1804885165,1829372998,1831989825,1756066679,1791089583,1823374151,1880554502,1955834780,2040889404,2150462542,2215939362,2321109560,2429479836
 "06000","California",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",27112079,30635944,31620125,32810324,37673046,37555658,34372406,31667601,37455671,36879475,33687503,34377933,36808729,42482780,45797107,50026575,49827665,49266718
 "06000","California",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",13378843,14172867,11630403,12644881,12965789,17533857,19917275,17747743,23389001,18020360,17704707,21345526,18272760,16715891,17161863,16178956,16542887,16265985
 "06000","California",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",17388685,25419845,24827878,24125175,23215161,25897324,26075444,25922960,25251838,27238551,28771974,29429485,30019541,28608580,29413080,31367914,32703253,30412867
 "06000","California",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",92579902,90043667,96101146,108261500,111107064,107667139,98537626,79628526,66701996,64230311,60510298,64000527,69931473,70829756,76511318,80329489,83317929,86676142
 "06000","California",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",167256346,157661268,177544749,190096342,211630101,227982939,243127361,269015777,252825279,244286672,231802035,236799506,251183317,264712255,276157229,286124412,300660007,311858986
 "06000","California",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",74641274,73152802,82399332,87312468,99573551,108760692,118895548,126667759,123041619,129194092,137910322,141042296,148082482,154770037,165499095,175580543,187907159,200879922
 "06000","California",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",102752677,90213351,101527725,110592295,118588785,125268504,129175210,149767321,135242779,117214356,93898272,95757209,103114040,109966279,110700142,110606164,112891319,111536812
 "06000","California",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",102347316,103723479,109556542,111622201,118579523,123969134,128905775,125985538,106890430,114045323,121727259,120576348,125177712,132987451,144153737,138051332,142423440,147238473
 "06000","California",8,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",118625560,124744033,131679165,137224563,141287320,143519322,135465336,125015669,116624208,120365207,120212092,122242378,127792329,129902438,134622309,135557059,140996767,148796568
 "06000","California",8,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",42903786,41635794,42215639,46562773,47632522,52778269,51343195,49640176,46112324,48654060,49121373,48332719,50245553,52246012,54464523,59063722,63257215,68493289
 "06000","California",8,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",81624456,88836668,93742050,105494645,111223421,120808360,132075038,138224858,130163823,146957303,152173930,153370999,182454233,192490827,221695766,246335297,274037041,306620248
 "06000","California",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",337889066,355043931,374047009,386275577,416489555,433281354,435401737,422207199,427507781,432360254,446208735,462931095,476371213,492893745,505760951,513167085,536063530,546382003
 "06000","California",8,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",87967188,94847819,99784199,95237731,103717224,109095411,103186327,84340557,105527016,102904993,103585979,111429205,108506219,108433421,109658952,107920722,114038138,111895563
 "06000","California",8,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",249262280,259491437,273520457,290371197,312034627,323401026,331505001,337193072,322308906,329492409,342563026,351501890,367972574,384808092,396592801,406085673,422737281,435952331
 "06000","California",8,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",230529146,224749487,229888540,230415019,236561122,245156631,255425963,271571409,251587891,260618959,275200485,293693278,289834891,307272267,323764140,331198523,346058715,372300100
 "06000","California",8,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",140494259,139135209,141154453,142524530,148704498,156095450,164480243,181579955,169384817,174240787,184648969,199503962,194140970,206564449,220077485,222290873,230544485,247532347
 "06000","California",8,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",46523979,41345037,40514455,35965960,32298172,30916444,28794695,28093161,25937315,26993214,28833413,30048978,33750782,36494141,37789115,39328604,40940288,47620967
 "06000","California",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",47408070,47004708,50419269,53081050,56041573,58355999,62161304,61896501,56279113,59382262,61718280,64140337,61954323,64255482,65964096,69575267,74454571,77425581
