GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "08000","Colorado",7,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",236382576,236785496,238539785,240797487,250839642,256124308,264577032,267713201,262379817,264791078,268680788,273519504,282533885,295698588,309179631,316751784,329573719,341076739
 "08000","Colorado",7,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",202936305,202370986,204135895,206627002,216259630,222117600,231075011,232865590,227490411,229708099,233908957,238837764,247964297,260615026,272995774,279840689,291952513,302955330
 "08000","Colorado",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",2927352,2627938,2431034,2700978,3253268,3195972,3013712,2678131,3227671,3096380,2889383,2559735,2587139,2877852,3504236,3812901,3147159,3054639
 "08000","Colorado",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",6143323,6595313,7728864,8540718,10621289,11681904,11281809,12370957,13604365,11787567,11967047,12347303,13107242,16403575,18629707,17241375,18933465,19424998
 "08000","Colorado",7,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",2727450,2815677,2937506,3248946,3182290,3535238,3159128,3437556,3029435,3699966,3819577,3765227,3591164,3591288,3594381,3654387,3562008,3571895
 "08000","Colorado",7,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",18976180,17826810,16602497,16103642,15883111,15272753,14854804,14076110,11697580,9728090,9733954,10082838,11940545,13360363,14295063,15149661,15849510,16512210
 "08000","Colorado",7,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",13540777,14129533,14375796,16111646,17105814,18781604,20287278,20702272,20635959,21107091,21152797,20770899,21179230,22096809,22599631,22331855,23461152,24577934
 "08000","Colorado",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",6609465,7464596,7610753,8837157,9321164,10650759,11610065,11341367,10516910,12277722,12839270,13192344,13765942,13689218,13986321,13976999,14869033,15383187
 "08000","Colorado",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",7790979,7027873,7120364,7440879,8000908,8146445,8646725,9504664,10469738,8901180,8332300,7578556,7411720,8407465,8613072,8355199,8593841,9189768
 "08000","Colorado",7,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",13923559,13708883,13926195,13980307,14696250,15215341,16312768,16593118,14447211,15058328,15169000,15819809,16391227,17350745,18132405,18209280,18939358,19073302
 "08000","Colorado",7,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",14035242,14520687,14813397,15073042,15555582,15603544,15533561,15123985,14501709,14776532,14610573,14809710,15201973,15717038,16514112,17353407,18036481,18551142
 "08000","Colorado",7,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",6079513,6056181,6560312,7458090,8156408,6835073,8002349,7642843,7244190,7559311,7293967,7757159,9662383,10455636,11004007,10970012,11498136,12354238
 "08000","Colorado",7,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",15892312,15190689,14995211,14753819,15811138,16810880,18582915,19017720,18223939,18623506,18730760,17874139,19196212,19408950,19276654,20060578,21306804,21971340
 "08000","Colorado",7,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",50467777,50279153,49813977,46588242,47011387,47677264,50084345,48264756,49489009,50629643,53035146,54129876,54243829,54662186,57225755,59909748,62101443,64116814
 "08000","Colorado",7,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",14666954,14100922,13912900,12852874,14327439,14592264,14750101,12110607,14878037,14182505,14739430,15595010,15113468,15027681,15452376,15835930,15946307,16367704
 "08000","Colorado",7,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",35774743,36152095,35875078,33712537,32643420,33043397,35293440,36095756,34681460,36441832,38285393,38534866,39134859,39647832,41803888,44134218,46264457,47875349
 "08000","Colorado",7,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",27577108,26984787,28242961,29660576,31714287,33082759,35153957,36852022,35604471,37073280,38095718,40676929,41129100,43345507,44718492,45505099,48829198,51639944
 "08000","Colorado",7,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",17384612,17095921,17583993,18406731,19537594,20529861,22013073,23797610,23233263,24037131,24731853,25729356,26768434,27989181,28881057,30162564,31527946,33825083
 "08000","Colorado",7,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",3304470,3212947,3736154,4073028,4482381,4686598,4773155,4622708,4767039,5159788,5400543,6486941,5915729,6488203,6863774,6327340,7744788,7628876
