GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",220287357,219959405,222240432,237132609,242485352,251581338,261129051,259721896,248040637,247460771,242019540,243800971,241081174,237784257,242910718,242793869,243682541,244925749
 "09000","Connecticut",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",196007963,195262632,197663456,212131810,216706939,225871340,234975638,233209523,222903846,222542472,217235589,219550579,216892287,213684438,218560703,218560450,219628889,221004883
 "09000","Connecticut",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",561533,548601,515306,503535,565517,567467,464544,473632,552384,502758,387310,409330,414955,371572,461686,467559,461662,457770
 "09000","Connecticut",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",308546,295564,323241,272141,227328,243069,237955,159240,131506,165878,129912,155947,159507,196318,297434,395621,223715,230054
 "09000","Connecticut",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",3244417,3175475,3269665,3624931,4043321,4149540,4428919,4856009,4528046,4395648,4171833,4791598,4694229,4665959,4204230,3986028,3974226,4018469
 "09000","Connecticut",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",9190759,8465043,8535262,9078994,8982193,8814838,8679868,7793118,7116780,6764244,6562361,6630316,6431557,6246981,6436698,6527591,6403651,6361436
 "09000","Connecticut",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",28465715,31186032,31733572,37500589,37676753,44301495,45287717,43536591,29802163,30593642,29308784,28980016,29660703,28325984,27897915,25625152,26431638,27003137
 "09000","Connecticut",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",16148996,14816623,15955752,16151601,16874443,18033040,18292839,18867883,17871561,20298576,19865780,20446379,20673267,19789099,19758271,18566585,19449356,20081158
 "09000","Connecticut",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",12019112,16888754,16059471,22439329,21717246,27823354,28620992,25962216,12149200,10332780,9455557,8533637,8987536,8537251,8145039,7076644,7014481,6968050
 "09000","Connecticut",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",12226204,12071605,12774582,13134964,14125217,14846189,15363013,15957442,14383473,15327425,15331356,16059578,16191153,16419140,17174617,16702933,16472000,16459321
 "09000","Connecticut",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",12996554,13400467,13927260,13848130,13945783,13333696,12872475,12400184,11994589,12002131,12132397,12464109,12535088,12664920,12761158,12790879,12965158,13420297
 "09000","Connecticut",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",3368611,3258925,3436782,3648892,3820479,3961561,4483117,4276126,4034652,3754238,3802552,3838832,3848455,4018256,4416716,4153918,4130777,4343293
 "09000","Connecticut",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",5834119,6099367,6418218,7046569,8006536,8553062,9866196,10561941,10368475,10466442,10421928,10056048,11569479,11445707,13220637,13896680,13703311,14892005
 "09000","Connecticut",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",62681600,59359164,58162221,64086332,65328931,66371047,71249827,68994182,77817814,75974028,71765410,70261093,66000846,62386662,64542554,66595042,67141361,64770087
