GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11000","District of Columbia",2,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",88505786,91195356,93024972,97797779,99954650,100242100,102956464,106746788,106351317,109964063,112008296,112736453,112677868,114910467,117238433,119567337,121011225,123981627
 "11000","District of Columbia",2,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",55223932,56858145,58672567,62735118,63981937,65165556,68077159,70606491,68619539,70490359,72261077,73329185,73558781,75663037,77960353,79241033,80325446,82756564
 "11000","District of Columbia",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",932,807,720,795,650,797,279,109,93,266,344,440,415,401,494,840,1206,1307
 "11000","District of Columbia",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",39541,44775,21332,7622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",891499,951217,973425,1021542,1109809,1139403,1235720,1308987,1324371,1433155,1315408,1211341,1188924,1119245,1158598,1205896,1270696,1312398
 "11000","District of Columbia",2,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",1291137,1491581,1468470,1417106,1292900,1160263,1096111,1132633,1015694,1000563,1124189,1359047,1380530,1333611,1265569,1190085,1296470,1281323
 "11000","District of Columbia",2,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",349416,344664,365499,413740,343456,315200,312764,303704,304159,281130,295286,229744,238046,205613,227133,248482,264952,285961
 "11000","District of Columbia",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",76270,95096,100045,122818,102411,93472,80085,77245,77039,69141,68225,69849,84769,83758,101169,122749,128447,145352
 "11000","District of Columbia",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",300634,248437,265259,280278,231924,213710,231324,225358,226142,211713,227424,159895,153300,122033,126413,126727,137442,141930
 "11000","District of Columbia",2,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",773105,769112,890607,905696,938599,922186,971175,991951,906198,1000397,988050,1086618,1080585,1133469,1162428,1117830,1132099,1135052
 "11000","District of Columbia",2,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",961286,1005850,1102217,1133031,1170908,1192913,1177082,1146179,1104680,1220416,1223360,1234484,1266407,1333959,1402210,1514891,1564745,1605829
 "11000","District of Columbia",2,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",594384,423421,444221,425765,384413,381162,400139,471624,434092,419319,399919,429746,369221,376354,466976,456170,402720,400073
 "11000","District of Columbia",2,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",3665991,4370002,4679113,5306460,5926188,5700230,6147702,6230760,5997594,6162981,6202124,5698633,6218201,6040502,6455846,6898763,7600321,8373569
 "11000","District of Columbia",2,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",9936010,9439870,9484377,10333698,10552720,11145629,11878514,11446672,11360543,12181664,12786565,13574212,13492163,14502207,14750572,14664196,14684639,15020479
 "11000","District of Columbia",2,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",4088451,3589004,3322273,3647391,3537986,3864155,4300104,3646929,3625291,3745575,3767423,3978182,3662528,3968455,4237062,4197507,4157412,4309282
 "11000","District of Columbia",2,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",5861402,5864760,6177261,6702441,7034220,7300438,7596618,7817989,7752225,8442823,9019461,9596030,9834659,10537632,10501405,10456151,10521663,10697353
 "11000","District of Columbia",2,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",20266980,20965496,21767279,23206363,23360709,24152099,25283593,27359753,25931704,26151797,27005411,27379172,26795849,27500851,28369235,29227200,29355781,30140642
 "11000","District of Columbia",2,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",17782518,18554087,19276799,20711629,20564218,21241017,22173123,24194627,22904074,22849469,23441515,23736060,23158963,23732427,24385418,25471782,25437734,26178533
 "11000","District of Columbia",2,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",705113,652990,470188,398843,425824,462725,523260,468113,476940,603182,547255,615187,583254,662405,813265,702719,783477,862156
 "11000","District of Columbia",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",1858659,1847367,2052576,2127442,2376673,2456078,2594014,2711590,2563976,2702632,3016811,3027925,3053869,3108342,3180446,3054689,3142829,3115272
 "11000","District of Columbia",2,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",6866936,7077611,7468677,7824572,7704664,7799120,7948484,8377850,8782820,9003293,9164008,9032374,9269167,9575372,9811421,9933031,9801401,9963748
 "11000","District of Columbia",2,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",2967249,3031993,3311575,3527723,3382179,3397090,3368552,3608138,3906360,3926350,3937269,3865850,4068584,4135201,4192302,4243742,4047243,4069205
 "11000","District of Columbia",2,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",3895608,4038075,4162458,4308493,4326180,4404021,4576771,4768991,4879923,5078222,5226839,5166524,5199748,5440951,5621449,5691666,5761843,5904410
 "11000","District of Columbia",2,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",3715994,3778207,3875046,4135998,4238672,4208826,4210575,4153880,4024839,4301775,4248616,4535934,4636953,4734346,4907945,4804979,5017806,5164442
 "11000","District of Columbia",2,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",850163,897350,901579,927288,938014,902263,761351,875997,880787,937534,806254,919202,873647,938309,977163,985877,1138013,1218759
 "11000","District of Columbia",2,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",2860831,2875980,2968580,3204453,3296728,3303700,3451147,3276373,3141958,3362080,3442938,3616733,3762871,3796359,3931208,3820255,3884384,3952325
 "11000","District of Columbia",2,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",6362255,6530287,6412361,6734264,6919053,7038340,7345922,7667999,7427101,7308766,7494621,7557439,7628155,7801003,8001960,8070273,8114182,8368663
 "11000","District of Columbia",2,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",33369110,34430569,34410963,35084766,35999693,35078577,34860768,36120803,37724247,39463832,39743109,39407268,39117539,39238798,39260905,40313537,40669841,41199756
 "11000","District of Columbia",2,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",41827,49795,21294,8098,650,797,279,109,93,266,344,440,415,401,494,840,1206,1307
 "11000","District of Columbia",2,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",1735725,1778841,1993979,2040503,2111212,2118245,2148974,2137127,2010813,2220745,2211370,2321102,2346940,2467358,2564563,2632696,2696654,2740197
 "11000","District of Columbia",2,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",1447168,1358632,1400137,1433606,1488638,1516626,1633387,1772959,1755719,1855840,1717238,1641087,1557965,1495010,1623215,1659399,1669137,1707976
 "11000","District of Columbia",2,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "11000","District of Columbia",2,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",1677918,1867287,1849564,1839841,1636744,1475776,1407516,1436860,1316479,1280563,1419283,1589232,1618949,1540423,1492333,1436608,1559991,1563533
 "11000","District of Columbia",2,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",53564163,55026479,56850767,60910845,62345616,63686989,66668369,69168548,67301928,69207618,70841315,71739954,71939722,74125858,76476617,77818983,78771363,81203383
 "11001","District of Columbia, DC",2,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",88505786,91195356,93024972,97797779,99954650,100242100,102956464,106746788,106351317,109964063,112008296,112736453,112677868,114910467,117238433,119567337,121011225,123981627
