GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10000","Delaware",2,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",58881627,56814003,57957270,60682277,59973513,61496784,61235142,58656388,60404187,60016072,62017358,61975759,59157111,63499482,65876064,63108730,62740077,62764748
 "10000","Delaware",2,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",53162953,50781640,51933786,54626026,53677053,55369092,54912671,52208821,53832089,53612829,55548399,55617137,52946725,57536358,59889455,57054516,56607462,56618251
 "10000","Delaware",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",460428,293793,415353,524381,649965,543170,416741,411264,640662,520311,383022,417001,565538,689619,617660,689001,856931,(D)
 "10000","Delaware",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",34702,29220,14484,11877,3349,2399,743,1103,958,1427,102,212,3116,3478,4315,4532,4861,(D)
 "10000","Delaware",2,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",687094,767096,718701,761481,700458,834737,857355,851727,808852,913552,880766,868938,850880,907524,932946,976746,976604,937982
 "10000","Delaware",2,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",2556065,2503501,2518814,2815691,2831238,2755928,2421229,2332907,1885481,1656562,1753101,1727159,1790527,1888584,2069475,2121731,2172742,2167585
 "10000","Delaware",2,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",4928156,3968231,4176729,5631509,5444239,5810215,6310893,5144759,4731984,4446077,4332043,3792609,3911333,4010964,4770784,3963008,4141903,4471702
 "10000","Delaware",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",846971,779121,806667,1009529,1057129,1177627,1346665,1396283,1233118,1355182,1257540,1424304,1268905,1255598,1398413,1327344,1344679,1423234
 "10000","Delaware",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",4352873,3323782,3522360,4884613,4588333,4819749,5134527,3778668,3538571,3096773,3086460,2368305,2642498,2755511,3371946,2636615,2797463,3046870
 "10000","Delaware",2,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",1889185,1958814,2332773,2521669,2567682,2826880,2721363,2630358,2301618,2364361,2347786,2298259,2238724,2297040,2202524,2207895,1884832,1864837
 "10000","Delaware",2,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",2266845,2429483,2605109,2736916,2786181,2791282,2715057,2566230,2462094,2485598,2483673,2474308,2529525,2508102,2511674,2589396,2627421,2691773
 "10000","Delaware",2,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",844959,801300,804875,915180,881675,906486,872398,841466,795859,795011,825299,853023,910208,958021,1010183,993036,989882,999872
 "10000","Delaware",2,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",799839,893856,875418,990683,977056,977770,1053835,1252563,1299268,1704775,1913001,2012923,1617098,1354175,1238442,1275745,1246140,1161333
 "10000","Delaware",2,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",26368432,24716380,24687127,24534842,23650334,24492543,24421960,22447244,25970368,25283346,26457119,26529672,24041312,27902154,29446110,27308000,26361317,25822100
