GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "15000","Hawaii",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",56019262,57911787,60838050,64928257,68565515,70402851,71191675,71689306,69094807,71006458,72080200,73582724,74277546,74529309,77185376,78905138,80715781,82651901
 "15000","Hawaii",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",43270045,44660727,47150935,50725644,53999915,55539696,56221858,56263159,53628388,55410047,56085487,57485314,58466595,58487810,61186778,62779861,64608673,66544583
 "15000","Hawaii",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",557596,651434,632930,559258,655663,711348,509299,528526,720634,648361,576528,536203,504140,496719,612046,675581,623549,627780
 "15000","Hawaii",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",124788,102909,110662,101381,80092,103434,137434,125982,124518,94173,68482,70040,69541,70550,80888,92032,78469,103223
 "15000","Hawaii",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",1066405,1036942,1078237,1193895,1166196,1286407,1312323,1501242,1311214,1612072,1885841,2038146,1977962,1856575,1648734,1651161,1689837,1765975
 "15000","Hawaii",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",3256863,3399991,3768688,4038000,4616644,4638409,4930068,4797089,4279371,3840105,3633879,3639028,3579470,3605255,4062599,4414117,4246343,4192087
 "15000","Hawaii",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",1508100,1632980,1720612,1631076,1561882,1549243,1541763,1769990,1758361,1536308,1444601,1426272,1589551,1736061,1722962,1773853,1879709,1923527
 "15000","Hawaii",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",259727,257903,249957,254604,310463,328010,359911,370331,335808,330752,362130,325912,356445,335810,325004,352082,366738,369131
 "15000","Hawaii",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",1276816,1422862,1536429,1427848,1268553,1230309,1178460,1409782,1444942,1211794,1081666,1100360,1233367,1405681,1404643,1423656,1516948,1559731
 "15000","Hawaii",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",2137106,2217573,2378531,2410651,2476513,2417477,2498481,2526833,2224020,2285434,2312404,2343590,2407713,2450041,2589307,2544466,2628866,2648062
 "15000","Hawaii",8,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",4098796,4199456,4638827,4908173,5160040,5184906,5052738,4849499,4590155,4736328,4979308,5097784,5186542,5166107,5308005,5388652,5627763,5907675
 "15000","Hawaii",8,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",2034871,1976911,2163056,2587148,3027049,3317890,3297610,3008923,3011033,3408494,3287937,3397760,3529243,3499477,3682626,3944227,4284941,4475880
 "15000","Hawaii",8,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",1002185,1100366,1079247,1329045,1432957,1604753,1767549,1715713,1717880,1920340,1586289,1533821,1693126,1660440,1878259,1944457,2072984,2297757
 "15000","Hawaii",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",10976866,11132089,11543119,12670442,14088403,14362664,15036243,15409841,15101753,16010451,16233317,16715003,16617294,16516650,17608114,18251721,18544624,19050592
 "15000","Hawaii",8,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",1887298,2154847,2161070,2282740,2375475,2344535,2399910,2306210,2290395,2195864,2349756,2393965,2178525,2452297,2600608,2477139,2502088,2653379
 "15000","Hawaii",8,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",9090611,8972710,9379006,10387238,11717570,12024705,12644053,13111541,12820317,13811801,13883844,14321038,14440411,14057288,15000523,15778155,16047053,16394985
 "15000","Hawaii",8,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",4578202,5051565,5401889,5636349,5643427,5844126,5889355,6132001,5829981,6065225,6312861,6500885,6662537,6832537,6908011,6956901,7158177,7401462
 "15000","Hawaii",8,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",2274833,2522334,2614645,2678524,2808039,2948451,3024349,3225368,3087050,3068438,3160035,3180029,3159333,3217735,3257820,3262224,3361697,3461732
 "15000","Hawaii",8,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",823490,955797,997204,1126284,963339,896195,832307,808674,738139,762368,801855,887192,977445,1007601,1023135,1064290,1101311,1161215
 "15000","Hawaii",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",1497357,1608208,1813076,1872672,1891123,2007138,2036726,2101639,2007956,2234809,2351103,2433663,2525982,2607405,2627589,2632847,2698565,2784126
 "15000","Hawaii",8,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",4217696,4262502,4478600,4687793,4841613,4961126,4977660,5327326,5488909,5484443,5582547,5635207,5727901,5807752,6046773,6156858,6274791,6534474
 "15000","Hawaii",8,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",720932,703191,764269,803086,793857,801908,807682,871731,923473,928933,925051,930646,891816,865524,847381,844768,800771,828435
