GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "16000","Idaho",7,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",46062187,47207955,48535762,51241418,55387100,57589573,58703086,59703915,57087545,57906691,57796692,57764366,59830590,61394497,63097512,65535348,67818168,70500379
 "16000","Idaho",7,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",38161221,39205451,40451564,42945484,46877600,48976670,50137702,51065553,48559498,49632575,49671147,49561063,51719906,53402137,54832033,57128014,59205148,61759697
 "16000","Idaho",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",3046341,3346285,2778360,3353709,3415428,3675856,3562425,3652600,3416721,3537958,3545112,3444537,3691439,4220711,4574011,5040527,4431468,4417867
 "16000","Idaho",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",470644,451476,500636,495368,1102721,862277,827027,1144906,1043736,1312204,1276710,727368,991755,1162674,690186,720224,303642,324185
 "16000","Idaho",7,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",684721,797188,687952,737953,665209,736280,740717,855204,898133,1118839,1156968,1235708,1270079,1168809,1154345,1227631,1244450,1211318
 "16000","Idaho",7,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",3591522,3271676,3333982,3432363,3762979,4080980,4267696,3580076,2864230,2536909,2414379,2518957,2927553,3116825,3325982,3564841,3791698,3980950
 "16000","Idaho",7,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",3835885,3793423,4310137,4958766,5898281,5298645,5355810,6417107,6243359,6711360,6856320,6974067,6882014,7064754,6841579,7063716,7733101,8206383
 "16000","Idaho",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",1867331,2039595,2474406,3053811,3831288,3164133,3057860,3905120,3881719,4410173,4351956,4356573,4323342,4572956,4126744,4555223,5090745,5419281
 "16000","Idaho",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",2542510,2062445,2007066,1891384,1871493,2164807,2414354,2543856,2372979,2286256,2502013,2617493,2558741,2494512,2700164,2522988,2669882,2817908
 "16000","Idaho",7,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",2690833,2734958,2924411,3090890,3286693,3374490,3587191,3524594,3107426,3252798,3272472,3358685,3613616,3759544,3922749,4099644,4204961,4247586
 "16000","Idaho",7,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",3738812,3982576,4295778,4450667,4818578,5135421,5102990,5185458,4618862,4581566,4410679,4476209,4790343,4925272,5185302,5464286,5682618,5813267
