GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17000","Illinois",3,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",644181346,647867511,655834740,673262441,685896702,704494498,712709786,699429545,682965584,694961100,707059483,720702331,724616358,735035560,744517833,747167990,753637957,769800594
 "17000","Illinois",3,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",569352624,571260219,579186133,596258142,608807952,627661386,637177589,623671267,607273550,617515896,631226089,645806104,649677823,661565876,672776190,676446077,682737329,699074737
 "17000","Illinois",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",3386205,4355573,5253279,6593213,3923402,5885279,6170631,8214936,7816779,6664942,8075710,5911132,10610154,8331965,5797884,8989293,8361755,9693099
 "17000","Illinois",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",3661372,3385069,3247735,2987501,2835492,2786243,2794309,2406713,2491163,2177476,2032980,2323250,2478046,2187480,2260918,2189657,2241541,2818953
 "17000","Illinois",3,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",11874658,11876230,10989346,11883180,11188261,10944374,10740402,11549328,10396915,11719330,12238989,12111048,11790270,11862905,11667790,12140423,12483195,12479596
 "17000","Illinois",3,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",36499402,35681692,36198001,36203154,35115042,33367550,31817739,29534790,23742823,22629538,21766057,20286600,22423859,22725139,23844535,23724505,23722961,23683213
 "17000","Illinois",3,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",85996330,82468932,87133050,93241404,93087155,94914735,97346440,91860648,89211462,92941421,98552432,103214999,96751961,99596300,96472416,94628044,96002550,99654445
 "17000","Illinois",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",38532383,37761869,39615625,43845329,45459201,48663944,49946662,49833393,41669595,47198295,51729458,54803254,50983315,49617248,46966319,45643286,46315761,48354252
 "17000","Illinois",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",49701488,46436520,49475941,50855990,48416912,46294370,47433251,41375221,48312087,45922381,46833519,48411746,45777061,50103579,49691132,49204996,49908736,51518990
 "17000","Illinois",3,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",46674736,46845500,48202386,49448195,51955390,53349123,55611368,56248683,49583432,52359586,54111768,56564295,57716963,59352171,61684569,60820595,61896602,62720471
 "17000","Illinois",3,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",35113248,36659640,37882533,38464652,39348239,39758707,39263953,38422531,36120142,35951792,35734905,36086258,36830817,36556296,37576511,38465756,39602135,40219776
 "17000","Illinois",3,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",22004872,21282929,21732096,23775206,24577775,28564313,26950550,26337583,25100969,26934962,27640675,27385723,28061842,28217555,27996207,27923711,28613336,30300259
