GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18000","Indiana",3,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",258661198,265106012,275194362,284656328,285491903,291269139,299422897,298263767,277473904,295133220,296472018,297552734,303919483,313740508,311600670,316635852,322745581,329298827
 "18000","Indiana",3,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",229861870,236291753,245981049,255132610,255817704,257870264,270148874,268451648,247894119,266058428,267758205,269370123,276983911,285123708,283118965,287879274,293792053,300299769
 "18000","Indiana",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",3298536,3200252,3886602,4351949,3334220,3949510,3848376,4937997,4963426,4425777,4811531,4087650,7088051,5768021,4788490,5577721,5444146,5850263
 "18000","Indiana",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",2592464,2401502,2383515,1933135,1688572,1660588,1692531,1532372,1636317,1640783,1668451,1676159,1877653,1903292,1724068,1561692,1601689,1404063
 "18000","Indiana",3,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",4701483,4757618,4562199,4877987,4806908,5038641,4825719,5236030,5117248,5894807,6086787,6343138,6338381,6089613,5856698,6216744,6069757,6029668
 "18000","Indiana",3,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",14781005,13975876,14206900,14270219,13606224,12686077,12700376,11904712,10029469,9879014,10609222,11908253,11237490,10411582,10294788,10544613,10944613,10960516
 "18000","Indiana",3,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",66501354,71993150,76952950,82043155,79599345,79564135,91510322,90071888,74495016,88048175,86136529,82299862,87589138,91103619,86137673,87213873,88928816,91351266
 "18000","Indiana",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",34124813,37561716,41149346,41951295,42270248,42554318,47304712,43681565,31735962,45278629,44680982,45705750,47338629,47791762,49828611,50888639,52130502,54168765
 "18000","Indiana",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",32167072,33835130,34601936,39871995,36284609,35825216,43507262,46689918,44077872,42900722,41535455,36594112,40254037,43321465,36255820,36265271,36734314,37129436
 "18000","Indiana",3,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",14975844,15369786,15938113,16221734,16971157,17181002,17481202,17673742,15407550,16386253,16819008,17174147,17549624,18025538,18845165,18702867,18983618,19199789
