GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "25000","Massachusetts",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",362434059,364797071,373814339,383486863,390792286,397742637,407973826,412600464,408061819,424581316,434723532,444329765,444865822,453884211,471135269,478961042,490839833,506072766
 "25000","Massachusetts",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",317717262,319918003,329114802,338619522,345463342,351923759,361020514,364777576,360749099,377716044,385540350,397573977,397967019,406784151,423911064,431803945,443426885,458362056
 "25000","Massachusetts",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",903824,969007,943771,932746,1054570,1254859,1041800,1056499,1208276,1264637,1007004,1009566,858882,692102,765813,758497,775059,745633
 "25000","Massachusetts",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",448494,399889,380793,375823,265742,256618,358910,187766,205366,174372,158608,158605,186144,238764,333399,437803,332293,357449
 "25000","Massachusetts",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",4396297,3944233,4050072,4002903,3951967,4893192,5041362,6030643,4410639,5269269,5388927,5342821,5685021,5463539,5550024,5433957,6150236,6284595
 "25000","Massachusetts",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",20149022,19583379,18779387,18731808,18005606,16694297,15699662,14475487,12903643,12544542,12844805,13687780,14154575,14054454,14944256,15466826,15955573,16409750
 "25000","Massachusetts",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",29524858,30403004,34841686,34594298,35668930,39283805,44590376,43113218,40874987,45780599,46057430,46501993,46036156,48104606,49397301,48698688,49330108,50185680
 "25000","Massachusetts",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",17577621,17865578,21437005,21474759,22435287,24476325,28204573,27577728,25854660,30823900,32105238,32289147,30976630,31335647,32516198,33348216,34215464,34550527
 "25000","Massachusetts",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",13018880,13869371,14078526,13640407,13569032,15311168,16753587,15781823,15313683,15038422,13949360,14212845,15053071,16734107,16864818,15445930,15258523,15748365
 "25000","Massachusetts",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",23196814,22334400,23710900,24170867,23398530,24074098,24523960,24785887,22598212,23409598,23287413,22681655,23224662,24111358,25056463,25222531,25676209,25716261
 "25000","Massachusetts",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",18542290,19249695,20342889,20962797,21042390,20143527,19018298,18435833,18132232,18645627,18289619,17914612,18291621,18523063,19216253,20079368,20892329,21693435
 "25000","Massachusetts",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",6132914,6176823,6467704,6964348,7216822,7061991,7191000,6950851,6615801,6855143,7205931,7038695,7132179,7454619,7755637,8101912,8582147,9335717
 "25000","Massachusetts",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",13502323,14631350,14354705,16717573,18409296,18484152,19979313,22805894,21731376,24220661,24785651,24201192,25330424,25751722,27801022,29156492,30791751,32955627
 "25000","Massachusetts",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",85238933,85451224,85841543,87351969,89141647,89106233,89309590,85270038,93290063,94574916,97064268,104486291,101200517,101190893,104657451,106134784,106736544,108753888
 "25000","Massachusetts",1,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",36418696,35957196,33960183,34467587,34310252,35552764,34486313,30003522,37868157,36105801,34883847,40706320,36983341,36173879,39170544,39411080,38872652,39203204
 "25000","Massachusetts",1,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",48871702,49531772,51855771,52856992,54800932,53525161,54800699,55235614,55666134,58515078,62135733,63779971,64257752,65109391,65433072,66699320,67918256,69661897
 "25000","Massachusetts",1,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",56598525,54919593,55360888,57208943,59425468,61002287,63188983,67557380,63840879,67241875,70412033,73832171,74053705,77061970,81652364,84157295,89613664,96582595
 "25000","Massachusetts",1,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",36804646,36475585,36307556,38505400,39846182,41203836,42704050,47128625,45012878,47647872,49088639,52252224,51964765,54152120,57363122,60444873,64492958,69205518
