GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "24000","Maryland",2,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",260775492,270884732,277950162,292115310,305993307,311680174,312093374,315858876,314862823,327234541,334306567,334821641,334938953,338733995,345230212,356817594,360030127,368860199
 "24000","Maryland",2,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",203757785,211232942,217963393,231428492,243808504,248534868,248226013,250435975,248270777,258805225,263973266,264747527,264830728,268310908,274119074,285154929,287403314,295896201
 "24000","Maryland",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",1124421,925767,956760,1152538,1211351,1245639,954503,1056908,1319252,1087406,985764,1043963,1219348,1182480,1186124,1293032,1356535,1169709
 "24000","Maryland",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",568470,560689,556237,578597,553795,571965,560858,439341,237264,420738,315191,291184,263765,280122,347272,310134,390147,350748
 "24000","Maryland",2,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",3670949,3684560,3890286,4547500,4071361,4531936,5462394,5420430,5261124,6441851,6493369,6094082,5815643,5575330,5983115,6357928,6719993,6742649
 "24000","Maryland",2,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",18440397,17969126,18117806,19202773,18509282,17730657,16940553,16028535,14400739,13763293,13865241,14129567,13861622,13727800,13782009,14351518,14398772,14174386
 "24000","Maryland",2,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",15182958,15869987,15162925,16371409,15922558,17061830,18395422,19057515,19481873,20641778,20238427,18138418,19233067,19028433,18917065,20290209,21488444,22632500
 "24000","Maryland",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",4850637,5565881,5674383,6181196,6147548,6439239,6909644,8531604,8388879,8779684,9256213,8395741,8696246,8673662,8780061,9762909,10223218,10819050
 "24000","Maryland",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",11359566,10998855,9900355,10598560,10088611,11038722,11949628,10497732,11136495,11923171,10985048,9742677,10536248,10355223,10143940,10557288,11287324,11841917
 "24000","Maryland",2,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",14186968,14331206,15257445,16022293,16649452,16596804,16645464,16514966,14604115,15230461,15117368,15169966,15233725,15508461,16172774,15978804,16142943,16479965
 "24000","Maryland",2,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",16446358,17243895,18043106,17977020,18800520,18582890,17748192,16867456,15930065,16795389,16896966,17247245,17329826,17545283,18040050,18646970,18993890,19500755
 "24000","Maryland",2,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",5942236,5824465,5739901,6247887,6686506,6779493,6532097,6447921,6257145,6677090,6728078,6611504,6630466,7011926,7248111,7525299,7440493,7860919
 "24000","Maryland",2,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",7494678,8244631,8529568,10496066,12203720,12082551,10249590,13530809,14463330,16862929,17212606,16165375,15807603,14236213,15888231,18031727,18316975,19814999
 "24000","Maryland",2,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",51002673,53301989,55487109,58414644,65060308,66572833,68202647,64916076,65907077,67415818,69643267,71011049,70720274,72386969,73263259,77352512,75911502,77449528
 "24000","Maryland",2,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",14327759,15010384,15459126,15446394,17568904,17518876,17553881,14646843,15853767,15141658,14621492,15674996,15474917,16958360,16504576,17689825,17275143,17399722
 "24000","Maryland",2,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",36762465,38383580,40121363,43064168,47597622,49161132,50754482,50322553,50151991,52299383,55011668,55336054,55247593,55395217,56756165,59643531,58624346,60061660
 "24000","Maryland",2,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",30707758,32476378,34331235,36783253,39502711,40710595,41249328,43452482,43372435,45668061,47525548,49160992,48900409,50279077,50164538,51328813,52588543,54958098
 "24000","Maryland",2,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",22432289,24092895,25127746,26566612,28060191,28903730,29148834,31278735,31794810,33215998,34551179,35732052,35040790,36101616,35855394,36911442,37376003,39006346
 "24000","Maryland",2,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",1307799,1273071,1632014,2413458,2931450,3081483,2960535,2908967,2793823,3003322,3300087,3557212,3811438,3930486,3925069,3999932,4315910,4789776
 "24000","Maryland",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",6765936,6873213,7396923,7766963,8524461,8747106,9151082,9267263,8784732,9448880,9674360,9871728,10047669,10247949,10380119,10423735,10894873,11190486
 "24000","Maryland",2,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",22207434,22968276,24068107,25477206,26121156,26997459,27056707,28625469,29622086,29776277,30577089,30882502,30787964,31489976,32545599,32988548,33134000,34055505
 "24000","Maryland",2,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",4010992,4151617,4428328,4760558,4696276,4729943,4734564,4938540,5327073,5431423,5581095,5597048,5353631,5497232,5534143,5633075,5573692,5740166
 "24000","Maryland",2,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",18196250,18816898,19649824,20735237,21427452,22261837,22316129,23677252,24292801,24345076,24996304,25285454,25436660,25994474,27019900,27362802,27572661,28327225
 "24000","Maryland",2,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",11122246,11431498,11529041,11153072,10780672,11233836,10551518,10309186,9891352,10341684,10690769,11065481,11413528,12221169,12801082,13101787,13161154,13385134
 "24000","Maryland",2,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",1786276,1854102,1892898,2102481,1946245,2051353,2119377,1939509,1878534,2102903,2278022,2591790,3168977,3798812,3969922,4130089,3837954,3920988
 "24000","Maryland",2,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",9366933,9608221,9665750,9057896,8848425,9195223,8429773,8375251,8017572,8241885,8414581,8473691,8248159,8433137,8842246,8985127,9323427,9465327
 "24000","Maryland",2,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",8165137,8345111,8372734,8497451,8568299,8635904,8463774,8228759,7834372,7719180,7672707,7736197,7617166,7805030,7830513,7759677,7744749,7984378
 "24000","Maryland",2,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",57305821,60013259,60217827,60719442,62116030,63063270,63815232,65396225,66600295,68430027,70332054,70074114,70108130,70426897,71124309,71700608,72661056,73027423
 "24000","Maryland",2,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",1663955,1429402,1461879,1700989,1745974,1797683,1494176,1484502,1514269,1515694,1301441,1335147,1485849,1464083,1536383,1598421,1753481,1529404
 "24000","Maryland",2,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",30692773,31669738,33383400,34035037,35492378,35216120,34399097,33363353,30533276,32025587,32014448,32417211,32563537,33053987,34213103,34626325,35136490,35978768
 "24000","Maryland",2,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",9495539,9395797,9521709,10684614,10613507,11187612,11943911,11819668,11471247,13124337,13226978,12705587,12445194,12574153,13222695,13873767,14145242,14590148
 "24000","Maryland",2,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
