GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23000","Maine",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",49419353,50632996,51728456,53529721,53612484,54270237,54001438,53920982,53063564,53776183,53087769,52873958,52504999,53417976,53780489,54970953,56189337,57450447
 "23000","Maine",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",41839055,42898003,43858052,45556512,45605510,46233476,45991885,45847952,45124158,45949356,45583894,45503631,45223817,46059631,46441322,47381912,48544909,49759581
 "23000","Maine",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",1229379,1153931,1102535,1001206,1027075,1106016,897390,887650,951199,972346,844652,828622,799148,823240,974278,946707,926126,929810
 "23000","Maine",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",26275,24687,21648,22297,16182,15782,18289,26178,18909,20958,20115,31799,33420,26222,33601,31247,33986,42942
 "23000","Maine",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",918301,872040,784589,820039,822005,892713,947268,959127,869685,940320,916076,941083,941265,888533,850265,889581,904475,882224
 "23000","Maine",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",3146057,3072813,3198398,3246153,3003445,2771478,2563445,2319626,2254742,2228678,2098969,1979139,1831048,1798855,1785712,1791030,1819040,1852608
 "23000","Maine",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",5141096,5001756,5066457,5594306,5699661,5824380,6065340,6016660,5666707,5795756,5549133,5423595,5235545,5268035,5019958,5279163,5398570,5534436
 "23000","Maine",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",2080462,2025359,2112320,2430226,2484920,2463801,2488390,2571457,2556427,2779237,2766532,2490290,2670076,2680511,2647827,2784803,2871386,2966284
 "23000","Maine",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",3119132,3032968,2994178,3177085,3225055,3392728,3628444,3478028,3124309,3018427,2781211,2933305,2563723,2585840,2369877,2491991,2524859,2566098
 "23000","Maine",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",2712875,2811181,3042850,3161969,3135963,3186287,3194173,3090600,2790464,2915289,2873189,2963526,3002821,3103536,3200392,3227313,3255128,3297410
 "23000","Maine",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",4434523,4693583,4977880,5081946,5065552,5026533,4727784,4627051,4492805,4499208,4382805,4282799,4354445,4419904,4596154,4695132,4862321,4975412
 "23000","Maine",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",1095393,1078765,1118510,1171961,1220378,1341748,1306293,1280361,1243591,1259585,1206307,1175483,1188599,1220031,1215797,1221373,1279226,1262968
 "23000","Maine",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",936516,1041710,1113824,1187357,1259142,1203777,1173073,1190712,1194967,1258212,1120447,1026657,1088817,1044675,1143820,1251513,1243336,1315470
 "23000","Maine",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",9005279,9315145,9374272,9608584,9723877,9793874,9973323,9796276,10282826,10606256,10961877,11021527,10759731,11028811,10901238,10948070,11142900,11296228
 "23000","Maine",1,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",2898970,2828545,2785481,2833724,2943542,2893048,2949870,2841710,3012534,2960302,3045090,3096579,2927495,2978724,3151952,3080510,3311730,3253304
 "23000","Maine",1,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",6109293,6492115,6595191,6781952,6785526,6907382,7030081,6960716,7277737,7645947,7916428,7924948,7833197,8051861,7742390,7864527,7819044,8038149
 "23000","Maine",1,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",4117264,4313640,4323571,4390215,4295278,4430585,4630528,5063354,4808780,4894924,4982789,5057055,5124995,5426537,5526960,5766535,6056064,6465388
 "23000","Maine",1,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",2317163,2485584,2474284,2541644,2511192,2523300,2565935,2800299,2699881,2676425,2717028,2741133,2764277,2852354,2935513,3052240,3196209,3424670
 "23000","Maine",1,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",811656,846421,796697,804029,653371,726285,702496,798570,685425,718983,737262,804983,794846,959054,964688,1099463,1187326,1325790
 "23000","Maine",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",1021440,1021632,1075749,1069239,1133532,1187998,1363538,1466808,1424902,1499646,1528562,1510939,1565777,1617966,1629544,1624448,1685503,1736640
 "23000","Maine",1,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",5615180,5851334,6085729,6472352,6540089,6857710,6846520,7126295,7237760,7142062,7191249,7242586,7234278,7262767,7420284,7483697,7623746,7784485
 "23000","Maine",1,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",643259,652873,693739,724249,701886,735507,774716,792821,840317,859721,863054,873430,862515,869649,868560,877687,863809,887095
 "23000","Maine",1,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",4972949,5197255,5392509,5747239,5834768,6118571,6070378,6331376,6396529,6282367,6328164,6369156,6371855,6393108,6552497,6606718,6762050,6899273
 "23000","Maine",1,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",2235337,2353588,2387816,2470622,2420162,2457663,2373278,2249387,2149136,2252143,2290654,2408851,2510306,2602945,2652446,2733678,2877200,2976806
 "23000","Maine",1,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",414570,441134,465665,448806,446472,462270,474190,471622,478451,503921,509202,534336,548665,553193,535584,565742,574118,599225
 "23000","Maine",1,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",1824360,1915963,1924525,2026814,1978074,1999217,1901005,1778514,1670672,1748182,1781445,1874515,1961583,2049414,2115879,2167332,2301568,2376290
 "23000","Maine",1,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",1394799,1455677,1402609,1426057,1423539,1399613,1307217,1239079,1178068,1170111,1145972,1120910,1122645,1152991,1165784,1169529,1169000,1209680
