GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",423623629,435250372,443794724,444198238,450745894,443308312,441148492,416701807,380091189,400941416,411465712,418857402,424319892,431510944,442481789,452268793,459129090,470529220
 "26000","Michigan",3,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",367959801,379135270,387972274,389357456,395258208,389196905,388360036,363922004,328435675,349195216,361754804,370283417,376942516,385234947,395542730,405380325,411806956,423092075
 "26000","Michigan",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",2582589,2912328,2807584,3309536,3481553,4160988,3307123,3426664,3523680,3835871,4309494,3286127,3829250,3678285,4072007,4057158,4072367,4229249
 "26000","Michigan",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",1708188,1537697,1448894,1530309,1437966,1684819,1520880,1529709,1550380,1798835,2115922,2066423,2094848,2221182,2320211,2486901,2378537,2357393
 "26000","Michigan",3,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",6812381,6836934,6824341,7010461,6735984,7148157,7498127,7970766,7328174,8300368,8535203,9103330,8749485,8210895,8078954,9008345,9022727,9243899
 "26000","Michigan",3,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",25291605,23562078,22904040,22906969,21367984,18530170,16496557,13994548,11920933,11898867,11903854,13384316,14064331,14574649,15223913,15922448,16549854,16708623
 "26000","Michigan",3,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",74880689,80228329,83146729,80866624,82647444,82484365,86205457,74252148,53781712,68625062,75443185,77984615,82975971,82737958,82054719,83092513,84893366,88791880
 "26000","Michigan",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",55187587,58666179,61297621,58778231,62098348,60358917,65238444,55626663,36696788,50775410,57675949,60944931,64727340,64449828,62983626,63754524,65207728,68169032
 "26000","Michigan",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",19867213,22007073,22052485,22702544,20285581,22401379,20683695,18495882,17556107,17964561,17779119,17039683,18248726,18289734,19116347,19385887,19729910,20670451
 "26000","Michigan",3,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",26880274,27041932,28450571,28659514,29715856,29321649,29346622,29324512,25034843,26999367,27445575,28300086,28801735,30103610,30858746,31404652,31808368,32334860
