GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",4831387,4905212,4973755,5098449,5205916,5688636,5938272,6048755,5910471,6103245,6124105,6304173,6398366,6533062,6512380,6437424,6565925,6850284
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",3596858,3616394,3683602,3813385,3938616,4416429,4657323,4779318,4634314,4795133,4836851,5015315,5140803,5293487,5289903,5189228,5297579,5591369
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",89945,44945,75396,78376,75171,29139,84920,(D),39942,(D),57113,19140,103746,89515,125209,135490,(D),137198
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",248568,247902,203921,220578,254793,383180,405489,410704,373664,349762,384186,446691,428595,395682,297484,206364,257601,266368
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",40595,43908,(D),(D),(D),(D),(D),(D),111619,(D),(D),(D),124955,152628,133234,148588,(D),160155
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",255357,269287,265995,253035,260997,270699,301562,333395,320552,309300,295394,314327,325352,334029,316838,280445,262330,284368
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",286761,242265,230823,273640,277037,293661,321366,306132,266726,271368,285082,297556,309254,306207,317525,289376,299688,325587
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),135639,151493,158225,157312,152156,139377,135895,136083,(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),136254,133589,139331,152043,154300,179475,153942,164511,(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",212008,221289,250938,285004,283310,333581,357024,378781,327255,357343,384980,421380,427390,425776,404437,382555,(D),(D)
