GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "30000","Montana",7,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",31650506,32526817,33842946,35374922,37077120,38431251,40378839,40161549,39337432,40543843,41473092,42005809,42433805,43173677,44871442,44265422,45029245,46219700
 "30000","Montana",7,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",25999248,26776962,27874969,29377919,31069208,32301757,34137557,33816396,32969218,34148639,35039727,35568629,36217811,36928374,38687486,37919633,38589395,39891899
 "30000","Montana",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",1117313,1290032,1345701,1598692,1841090,1483192,1547029,1721572,1914523,1942248,1694679,1834379,2081219,2212849,2599406,2744726,1918912,2324897
 "30000","Montana",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",1958222,1798182,1766094,1900633,2100882,2352077,2518972,2441672,2410074,2418549,2581774,2691364,2719487,2650197,2449625,2147405,2233427,2239292
 "30000","Montana",7,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",783855,770224,763382,792239,749190,775727,829046,886006,869274,940911,1019721,1028550,1024602,954578,967843,1005316,992426,952653
 "30000","Montana",7,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",2102648,2076244,2253096,2353789,2485590,2515318,2710968,2452410,2218541,2046830,2011649,2092499,2120744,2131205,2216097,2214892,2204802,2284962
 "30000","Montana",7,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",2463756,2330009,2765260,2930398,2815193,2909863,3566366,2906999,2255363,2522558,2752935,2600683,2759169,3240244,3690257,2994360,3271656,3361948
 "30000","Montana",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",727224,656860,701494,695067,734855,717878,798203,795041,698659,692599,763262,811871,907508,913134,953052,970386,1014539,1012233
 "30000","Montana",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",1606955,1597432,2090728,2329550,2097082,2241909,2878361,2124912,1514254,1835624,1992234,1788813,1847593,2358475,2803194,1960844,2218040,2322696
 "30000","Montana",7,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",1652134,1737335,1873030,2006736,2068420,2133936,2213369,2223429,1992203,2094904,2129478,2276187,2403889,2436615,2511171,2475474,2496986,2523179
 "30000","Montana",7,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",2111483,2274736,2339782,2434636,2657047,2753169,2765908,2729133,2685434,2886482,2809700,2729387,2667447,2700722,2788838,2912987,3043552,3139674
 "30000","Montana",7,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",1471272,1440697,1541499,1686725,1794144,1878437,1864035,1901706,1801582,1921839,1865187,1933887,1963331,1977893,1931019,1820682,1902763,1984696
 "30000","Montana",7,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",550960,630192,651663,757228,815536,859842,899323,949904,990671,1061074,1032172,992431,1067198,1026255,1110301,1160965,1242376,1334998
 "30000","Montana",7,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",4935025,5007411,5034384,5180662,5736666,6128041,6520380,6460159,6624464,6948326,7455011,7336984,7379824,7319206,7806452,7585202,7841045,8052967
 "30000","Montana",7,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",1364853,1457280,1477535,1531681,1643471,1685739,1787075,1819031,1897683,1849150,1910330,1900395,1819515,1875190,2024299,1870746,1872460,1870989
 "30000","Montana",7,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",3576856,3554792,3561186,3653030,4099588,4451152,4742855,4650244,4737233,5101115,5544331,5436589,5561593,5441984,5778349,5719630,5981296,6203585
 "30000","Montana",7,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",1900559,2023798,2118833,2134633,2254673,2406226,2620130,2806141,2707528,2854278,2995403,3213012,3035234,3132360,3226286,3237283,3357967,3543443
 "30000","Montana",7,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",1279342,1388744,1418444,1429552,1495059,1564840,1666368,1813211,1741404,1806439,1877588,2036272,1946965,2038470,2104306,2156628,2228437,2336494
 "30000","Montana",7,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",116671,119284,119725,89774,90738,97015,116837,138831,141954,152422,178627,201597,205149,202242,217233,215092,221137,231302
 "30000","Montana",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",516063,529080,590063,617525,669764,744289,836743,854705,824781,895537,939181,975143,883214,891742,905445,867723,909997,976296
 "30000","Montana",7,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",2744296,2899297,2976841,3122505,3237068,3406226,3429293,3691145,3850926,3893699,3986913,4053724,4159466,4231243,4446455,4569981,4769899,4873633
 "30000","Montana",7,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",165494,163922,165166,178004,173488,190224,190128,194990,207185,207970,222772,219608,220236,224460,227516,229270,223358,224061
 "30000","Montana",7,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",2580738,2735949,2811873,2945224,3063349,3216275,3239362,3495919,3643627,3685566,3764190,3834116,3939279,4006822,4219327,4341319,4547987,4651302
 "30000","Montana",7,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",1542805,1626346,1708468,1785314,1761024,1858310,1883998,1820714,1753654,1760482,1834804,1901159,1966041,2062242,2108108,2085078,2109631,2139787
 "30000","Montana",7,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",365061,390192,422728,428230,445513,485062,511311,513621,504503,495255,497860,488595,491387,536728,521026,526423,556593,560069
 "30000","Montana",7,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",1181597,1239890,1288798,1361315,1318047,1374976,1373376,1307026,1248901,1265036,1336835,1412564,1474555,1525796,1586718,1558632,1554069,1580513
 "30000","Montana",7,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",979180,1011687,971896,978989,1009019,998964,977917,942833,902390,890778,877200,884381,873623,893951,905717,901644,907954,943705
 "30000","Montana",7,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",5653754,5750626,5968631,5996293,6004577,6125067,6234811,6339730,6360653,6393037,6433218,6437180,6218567,6249948,6204633,6347297,6442587,6350341
 "30000","Montana",7,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",2935975,3017469,3056678,3466101,3910842,3846580,4080977,4164240,4295330,4328407,4277846,4525744,4804167,4868864,5061056,4906169,4192462,4577588
 "30000","Montana",7,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",3764353,4015571,4210734,4435671,4725467,4887502,4976873,4948688,4677521,4981472,4939081,5005575,5071616,5137630,5300309,5388821,5540299,5661694
 "30000","Montana",7,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",2259781,2215837,2302588,2470432,2521616,2630255,2677147,2775243,2662105,2855060,2885730,2962437,2987967,2931578,2898689,2825768,2895431,2938034
 "30000","Montana",7,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "30000","Montana",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",7507633,7417516,8081597,8739761,9201500,9268262,10331029,9541587,8845991,8911882,9033738,9218926,9681556,10217126,10941821,10121357,9780413,10300245
 "30000","Montana",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",18554118,19329519,19866108,20767888,21998060,23125117,23961095,24376008,24164698,25243077,26006217,26349703,26540731,26731291,27792243,27722718,28621838,29431041
 "30001","Beaverhead, MT",7,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",303175,264161,283659,302632,340960,323733,332736,303821,313112,295210,304617,334351,373243,434506,492039,492895,459211,394127
 "30001","Beaverhead, MT",7,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",240761,202490,217002,235600,273937,257048,265850,239855,248826,234835,241983,271834,311212,373614,429150,426321,391712,327069
 "30001","Beaverhead, MT",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",39962,(D),(D),29255,51045,8930,11286,4120,19831,4553,10438,39642,73889,139208,194598,205325,146451,50745
 "30001","Beaverhead, MT",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",46001,37891,41408,39603,41467,42106,44901,35881,35313,30138,27490,24104,23026,24671,26128,22374,27925,27602
