GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "33000","New Hampshire",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",57432708,59040678,61610330,63498994,64356398,65944955,65697885,65016787,64449590,66441489,66840054,67689190,68800172,69544710,71511135,72815608,74118843,75833174
 "33000","New Hampshire",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",49834539,51359271,53685563,55543891,56273252,57752377,57398715,56608041,56279505,58110537,58746395,59742675,60929577,61678635,63859913,65208060,66561962,68308056
 "33000","New Hampshire",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",218878,224119,240598,241530,225099,241904,191615,215491,213741,204933,190493,221858,221639,227288,269065,255613,256442,254667
 "33000","New Hampshire",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",108973,142332,140529,126069,118157,134075,154073,118526,83139,76938,49666,67352,48470,51842,49698,62051,63428,64588
 "33000","New Hampshire",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",984168,988632,1028049,1166075,1086071,1029976,1005925,1097155,1202124,1287765,1254717,1254470,1234621,1163126,1160564,1175147,1203370,1221220
 "33000","New Hampshire",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",3614793,3480203,3470416,3632871,3387017,3111157,2684378,2295331,2117091,2088226,2078724,2082228,1990122,1914879,1947015,1981320,2041641,2041295
 "33000","New Hampshire",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",5600861,5739932,6363829,6620501,6238967,6886988,7172605,6834034,6490950,7138873,7461118,7254635,7879210,7281941,8179997,8566995,8918436,9247285
 "33000","New Hampshire",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",3578701,3864986,4428107,4707207,4370570,4959508,5193471,4956499,4642522,5329286,5791791,5609688,6148551,5498428,6367638,6618659,6965715,7231667
 "33000","New Hampshire",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",2284541,2028222,2029574,1962815,1943453,1960817,2005354,1900907,1880981,1821376,1668915,1644947,1730697,1782693,1815084,1949140,1957335,2020903
 "33000","New Hampshire",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",3998731,4037775,4183286,4286228,4380292,4416387,4500303,4514794,4006429,4195709,4201803,4315653,4500184,4669962,5019893,4964435,5090003,5050347
 "33000","New Hampshire",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",6181155,6447872,6625784,6310206,6405422,6525487,6006165,6075431,6013911,6196731,5831885,5527276,5348433,5054515,4889841,5041412,5214306,5372465
 "33000","New Hampshire",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",981849,990259,1014544,1085719,1171115,1183011,1082945,1002276,952223,981260,1000633,980827,988751,997043,1057630,1086095,1058076,1116799
 "33000","New Hampshire",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",1490889,1664827,1647723,2016488,2265283,2316688,2398285,2616321,2562896,2597698,2512014,2599602,2864198,3146128,3122347,3351192,3351112,3524510
 "33000","New Hampshire",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",10892207,11472440,12102476,12259964,12853622,13134028,13380810,12770532,13691520,13925297,14429729,15368420,15473131,16024500,16295662,16531424,15976850,16159294
 "33000","New Hampshire",1,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",3323997,3357641,3460012,3613263,3748879,4181633,4206667,3452623,4313971,4321262,4418835,5115073,5353905,5810916,5962683,6125334,5629732,5590191
 "33000","New Hampshire",1,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",7554234,8098176,8623786,8627797,9085211,8930963,9152343,9289261,9379650,9601783,10006755,10253346,10117591,10203514,10320646,10391099,10340018,10566132
 "33000","New Hampshire",1,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",6084398,5940475,6172331,6573128,6803194,7174064,7150725,7294576,6939933,7308901,7490596,7852174,7858334,8521475,8811484,8958625,9873191,10333692
 "33000","New Hampshire",1,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",3536251,3522214,3625140,3769282,3999326,4068722,4031234,4416278,4135356,4318129,4473973,4620081,4691958,5036517,5193485,5347063,5994433,6330603
 "33000","New Hampshire",1,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",1191337,1052701,1083201,1268942,1251966,1456832,1211776,953341,921783,971759,970212,1104240,1035384,1204140,1247603,1242979,1337061,1317454
 "33000","New Hampshire",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",1384184,1363582,1456744,1550340,1560324,1673067,1915618,1925424,1883032,2018885,2046419,2127853,2130870,2282414,2371781,2371259,2547773,2685814
 "33000","New Hampshire",1,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",5638073,5927047,6233145,6512245,6673750,6925601,7057505,7539455,7873908,7802480,7870577,7768609,7861311,7951070,8295712,8447086,8613303,8860809
 "33000","New Hampshire",1,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",1244850,1301619,1406571,1485876,1440720,1456210,1474199,1539796,1631598,1605181,1569604,1554349,1568185,1583236,1664700,1672437,1625611,1643702
 "33000","New Hampshire",1,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",4398823,4630329,4836576,5038637,5238127,5472020,5585432,6000263,6243792,6198396,6300932,6214260,6293175,6367971,6630569,6775386,6993225,7224841
 "33000","New Hampshire",1,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",2680563,2803894,2895397,3061785,3024803,2945674,2924675,2640105,2608857,2764901,2875547,2953886,3187961,3173516,3273535,3335176,3510924,3641294
 "33000","New Hampshire",1,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",643981,677549,727522,817280,815552,832934,829454,698421,676452,816390,856553,899867,957570,972867,938885,970481,1012080,1086710
 "33000","New Hampshire",1,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",2041740,2131595,2172050,2246092,2210319,2111465,2093816,1942653,1933706,1948725,2019126,2054019,2230295,2200901,2333428,2363866,2497561,2555296
 "33000","New Hampshire",1,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",1818929,1907023,1825938,1830218,1826294,1823057,1734324,1648505,1559082,1548835,1501483,1495684,1476531,1509138,1513829,1498393,1493402,1557540
 "33000","New Hampshire",1,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",7648546,7710636,7942374,7949755,8079614,8181898,8296692,8414089,8170641,8330339,8093323,7946515,7872110,7869370,7667387,7629832,7585626,7562683
 "33000","New Hampshire",1,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",334956,361643,380513,372375,347645,379948,344912,337331,298631,283221,240058,289210,270891,279771,320100,319015,321288,320807
 "33000","New Hampshire",1,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",10200703,10516281,10838183,10604777,10792617,10950948,10496600,10581723,10021008,10392815,10033523,9842929,9849139,9726273,9911624,10007826,10306065,10421490
 "33000","New Hampshire",1,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",1953876,1966560,2030129,2239782,2239766,2192312,2073307,2090919,2153523,2270873,2254951,2235298,2223289,2158490,2214744,2257714,2257417,2334056
 "33000","New Hampshire",1,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "33000","New Hampshire",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",9263270,9353574,10083497,10492455,9855085,10316947,10177584,9444083,8890185,9505583,9780012,9626073,10137513,9476398,10430729,10847705,11260592,11577897
 "33000","New Hampshire",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",40495102,41966942,43507608,44945603,46396759,47391695,47183473,47154690,47399174,48606025,48966117,50116601,50792736,52198783,53426956,54359395,55303231,56732526
 "33001","Belknap, NH",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",2425807,2488814,2527559,2523559,2515503,2445337,2432550,2376725,2318053,2312204,2355417,2409561,2469048,2434228,2529942,2559534,2595286,2673442
 "33001","Belknap, NH",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",2112653,2160581,2184335,2186352,2164562,2086063,2068734,2006941,1958062,1956226,2018243,2082481,2144829,2112074,2221877,2250589,2290688,2370575
