GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000","New Mexico",6,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",72052646,74274676,77132081,82842908,83825008,85890654,86511074,85976780,87667431,87004146,87166326,87601553,86505970,89275245,91200832,91268262,91343606,93604628
 "35000","New Mexico",6,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",52361600,53903934,56451160,61634939,62557406,64907976,65877131,65134151,66705774,66017792,66179944,66533588,65741818,68849252,71117913,70915731,71163808,73587352
 "35000","New Mexico",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",1655794,1429005,1345804,1654890,1910138,1666073,1608655,1467026,1364453,1778352,1622576,1416473,1384618,1709591,1671578,2046330,1932338,1668339
 "35000","New Mexico",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",8444947,8880560,7879040,7694266,7826679,8391787,8620868,8115805,9243533,8228735,8517107,9239548,9858507,11233183,12521443,11452346,12656180,13843810
 "35000","New Mexico",6,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",1181051,1105508,1073551,1138852,1099661,1218451,1216086,1306386,1257526,1413811,1497505,1552886,1540370,1477893,1437218,1516468,1483208,1473201
 "35000","New Mexico",6,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",3961066,3710194,3923358,4190301,4426612,4535785,4598026,4486725,3764494,3331448,3091154,2932057,2867441,2783685,2818470,2770547,2810407,2916707
 "35000","New Mexico",6,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",3188672,2965901,4337532,6519321,5818122,5472405,4638849,3466070,5042973,4470003,3835349,3758580,3309558,3701757,4136829,4104804,3930560,4037259
 "35000","New Mexico",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",1839760,1657619,2836356,4800434,4320363,4112182,3287649,2166665,3798764,3334075,2769115,2527047,1933654,2134461,1997544,2048263,1865479,1926196
 "35000","New Mexico",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",2176675,2204261,1971813,1579077,1333314,1161868,1323529,1427279,1212944,1115414,1059609,1231533,1377704,1569701,2152408,2063374,2081537,2128049
 "35000","New Mexico",6,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",2868819,2917788,3010362,3104508,3169941,3295341,3325875,3325657,2760693,2914232,2827934,2888509,2913409,2986741,3016091,2927386,2902559,2927268
 "35000","New Mexico",6,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",4619788,4882887,5115910,5359226,5289370,5495080,5439637,5315600,5237631,5158568,5009230,5058992,5057561,5185856,5235357,5338672,5357149,5496109
 "35000","New Mexico",6,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",1886891,1930577,2039551,2232144,2335769,2450888,2406257,2440027,2122350,2173590,2321866,2266563,2229284,2336825,2295843,2136594,2211239,2418389
 "35000","New Mexico",6,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",1484078,1594746,1636700,1723533,1836681,2034525,2316613,2890621,2801925,2884116,2719036,2724391,2606938,2496334,2774770,3013599,2898176,3002757
