GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "36000","New York",2,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1112238683,1102140105,1104937149,1132504190,1171050973,1199903843,1202725761,1175470863,1223229416,1269486493,1269244859,1322447945,1319298532,1349268145,1372162790,1389680638,1418942002,1435636154
 "36000","New York",2,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",972568337,962997682,965057604,990710638,1028610517,1058828484,1059824882,1030750778,1078197895,1122766029,1124895357,1179434682,1173495459,1205358536,1231922145,1248298713,1274978978,1283825623
 "36000","New York",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",2843098,2606525,2611186,2809321,3218115,3321713,3039169,3355063,3200109,3558542,3209047,2872874,3232328,3622087,3391163,3543939,3801857,3304389
 "36000","New York",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",1171569,1096047,1160166,1198489,1084535,1216667,1251447,1300126,1239616,1110857,932388,942146,869542,947751,981752,1156472,1103605,1201147
 "36000","New York",2,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",16205838,16627516,16807928,18747231,17521125,17545448,17192290,17676191,16303288,18993331,19399948,19727996,19900116,19434217,18941447,19542193,20292501,20167172
 "36000","New York",2,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",42231956,41660560,41914039,41252420,39497800,38067265,39723675,40534694,38611669,36125631,34791924,35187285,35881301,35865895,37801934,39285270,39536320,39869164
 "36000","New York",2,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",65954400,68507382,67974371,71340339,72647864,77315025,76923019,73766912,71306056,72763957,66698412,63961147,64110518,65218034,67116921,65234669,64729241,65786674
 "36000","New York",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",25965475,26610583,26209412,27635891,29302604,29774595,31529738,32788397,28452089,31230593,32087486,32982930,34669921,34417757,34728296,33799427,33462958,34435138
 "36000","New York",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",40894987,43025508,42975974,44918926,44105830,48869084,46077138,40969735,43378658,41829175,34661378,30978217,29445533,30793691,32359932,31409773,31236200,31350772
 "36000","New York",2,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",57230418,57944542,61929968,64544309,65475452,66850519,69377656,66559944,59765306,64763544,64375751,66144227,66374332,67552207,72224506,69145355,69960067,70453864
 "36000","New York",2,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",52070555,54968144,58502429,61387955,62450980,61936258,60761286,59725056,58293488,60676567,62201345,61979987,64374611,65431075,66436854,68076086,69793036,69217574
 "36000","New York",2,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",21662968,20831563,21628153,23127585,24144218,25689749,25980452,25863719,24525708,25203411,26302724,26286707,26825658,27445734,27897042,27529787,28657231,28294893
 "36000","New York",2,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",59321729,67192674,66313324,69691833,70313930,69887197,77365427,80892334,86496476,94600819,96900968,99634268,105125286,108602581,119176090,128977435,131882988,143644569
 "36000","New York",2,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",350599210,320836253,311801266,313687904,340566866,358234814,342873219,302287984,374106052,390727274,387573157,431791583,411531348,425924873,423187102,425315721,431944428,418873925
 "36000","New York",2,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",203238396,173710063,163536953,165145434,185196930,203899665,183938929,136210677,212712534,221443838,211082084,244986507,223960603,234535398,233957722,233581829,231848589,216259200
 "36000","New York",2,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",145309201,144866435,145875729,146153625,152828254,151701791,156519098,164066793,161718246,169549663,176323272,186805076,187764137,191397927,189138719,191840330,201009997,205196965
 "36000","New York",2,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",145450330,146463225,147304730,147305166,154657002,156876078,163010243,169484820,152710075,159033055,164039790,168002816,169727103,176817908,184080133,185893481,193550542,200090160
