GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39000","Ohio",3,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",501815353,514752042,522648904,534358655,543744720,541179560,541411169,537199701,509215657,521094681,538703320,540819313,550800007,571911563,580414093,585088902,594315188,605394561
 "39000","Ohio",3,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",437255121,449959519,457642449,469262913,479092547,477353972,477841663,473191531,446267388,456931281,475513572,477613247,488767388,510543082,519348415,523391611,532177794,543279716
 "39000","Ohio",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",3093761,3097344,3153720,3832782,3570782,3947854,3403653,3409037,4816265,4061711,4578684,3762888,4890287,4652852,3893354,4107551,4728591,5388327
 "39000","Ohio",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",3498767,4084961,3386362,3303602,3064575,3252504,3370390,3223066,3908144,3177319,3268958,3105648,4291232,7982583,14318316,16869965,18348355,19020664
 "39000","Ohio",3,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",8702788,8549628,7792801,7758026,7183074,7560758,8643816,9097786,8767606,9558771,9731612,9898276,9746316,9357427,9333471,9764993,9596255,9614846
 "39000","Ohio",3,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",25812254,24562147,24441090,24658465,22913425,20623910,19315999,17855982,16283476,15137204,15999718,17194858,17637383,17740619,18199366,18729030,19896168,19651237
 "39000","Ohio",3,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",95577142,98440977,100145686,106837664,107906761,109085865,108397047,100590210,82969943,89015446,95124351,91579867,94095618,103699016,99400033,98794343,99459362,103329954
 "39000","Ohio",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",52756587,54013960,55341677,60218628,62697426,62997019,61925463,58788282,38521647,45148554,51383824,52122481,52871302,55208482,54806009,54550978,55220945,56817788
 "39000","Ohio",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",42541896,44304390,44489793,45721015,43445942,44454193,45083633,40106445,45518174,44223441,43794684,39457386,41230698,48621385,44587340,44231523,44197831,46503661
 "39000","Ohio",3,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",31123526,31299317,32654691,33504688,34688571,35782159,36603312,36716171,31823183,33362311,33376401,34048762,35037535,36500144,37649029,37476821,38305797,38823343
