GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "40000","Oklahoma",6,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",128721056,131078317,133084296,137435809,143072535,152658973,155464720,161361445,159235635,159226480,165153028,173483741,177601586,187739083,195902133,190109718,191544229,196524608
 "40000","Oklahoma",6,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",105923238,107720664,109692084,113853888,118609005,127486835,129626293,134709328,132070667,131842637,137773661,146833272,150994710,161529197,169460786,163639724,165300004,170194957
 "40000","Oklahoma",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",2329726,2948765,2753390,3251075,3637430,3012468,2312582,2544740,2130721,2856801,2813554,3057461,2980808,3659799,4005005,3674167,3807343,3593817
 "40000","Oklahoma",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",12029724,13187116,12883603,14332872,15282658,18284633,19969827,20467661,24138812,21820732,23005760,24737889,28018804,33475179,41383693,40434404,42272347,43660629
 "40000","Oklahoma",6,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",2946924,2797703,2842827,2901363,2774683,2932527,3137702,3378549,2977334,3436683,3728235,4132843,3914001,3964438,3650240,3718762,3571939,3556931
 "40000","Oklahoma",6,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",6475887,6084898,6033434,5964907,5913467,5866268,5656620,5832499,5856418,6211036,6342669,6678825,6750311,6384880,6236404,5860409,5575332,5724560
 "40000","Oklahoma",6,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",14995901,14077045,15500154,15677406,16533293,18894445,18282185,21486829,17380234,15716741,16765828,17727868,17030203,17997296,17574579,15611985,16198180,17303012
 "40000","Oklahoma",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",8048653,7478364,7686110,8125421,8779257,9521698,10021857,10883209,8321624,8459835,9561507,9777621,10076969,10302436,9373006,8594800,8894417,9610688
 "40000","Oklahoma",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",6943611,6637605,8145029,7714822,7832565,9626354,8303476,10857084,9414695,7315777,7197721,7950247,6925533,7698164,8301021,7046512,7339077,7711771
 "40000","Oklahoma",6,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",6956579,7264676,7354285,7776120,7985924,8576805,8902166,9036234,7803433,8181265,8940001,10056803,10450258,10968460,10871481,10194611,10137336,10217587
 "40000","Oklahoma",6,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",8395866,8676015,8994679,8865382,9195682,9644041,9399478,9276469,9312108,9643628,9731857,10074748,10306263,10377726,10441253,10365941,10412135,10720062
 "40000","Oklahoma",6,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",4408042,4130641,4353987,4694040,4924682,5281778,5462460,5666198,4878149,5078123,5884083,7287459,8031326,9461915,10593882,10580192,10821405,11240053
 "40000","Oklahoma",6,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",3019882,3298454,3136865,3463493,3989775,4041251,4185396,4339664,4036622,3932683,3847358,3664997,3969355,4097005,4527803,4855586,5067120,5353231
 "40000","Oklahoma",6,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",17282298,17902843,17772995,18087588,19060191,20044445,20907264,19922377,20047125,20768011,21831758,23460463,23004235,23367830,23283535,22439977,22217974,22386594
 "40000","Oklahoma",6,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",5237445,5707143,5733884,5890779,6105195,6129663,6062424,5250948,5811416,5626691,5909158,6394317,6065890,6487383,6360628,6165013,6100740,5812012
 "40000","Oklahoma",6,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",12036165,12176733,12017868,12172733,12934028,13902780,14840661,14671076,14257547,15140906,15922017,17066146,16941018,16869418,16918248,16267949,16110601,16609435
 "40000","Oklahoma",6,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",10101403,10161276,10619481,10962787,11278798,11778489,12239833,13215481,12260670,12856073,13642062,14314704,14535731,15029480,15021631,14278537,14725536,15523819
 "40000","Oklahoma",6,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",5119404,5336951,5399687,5435779,5602477,5733583,6020221,6481765,6270746,6447270,6742391,7044348,7189679,7386687,7492533,7258878,7292605,7693111
 "40000","Oklahoma",6,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",1578322,1496116,1650137,1577065,1441791,1558992,1453556,1635202,1533224,1696376,2018605,1984743,2073269,2197586,2305488,2191876,2295543,2396449
 "40000","Oklahoma",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",3471171,3392691,3642155,3981629,4236296,4488686,4759289,5092788,4460310,4713565,4881082,5285613,5272986,5446800,5232556,4839955,5146407,5441096
 "40000","Oklahoma",6,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",9247187,9596084,9882018,10374935,10633824,11079187,11100711,11744213,12167518,12352629,12609508,12839897,13038179,13335186,13825655,13903282,13747386,14026030
 "40000","Oklahoma",6,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",866745,869687,873830,926090,911242,916531,915186,945400,1016764,1033027,1032999,1046768,1025306,1045418,999273,1035461,976685,960584
 "40000","Oklahoma",6,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",8391539,8733702,9012896,9454760,9725159,10163082,10185771,10797984,11151250,11320131,11576548,11793130,12013267,12290269,12830718,12870585,12776257,13073673
 "40000","Oklahoma",6,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",5140985,5330439,5380155,5537671,5425989,5726585,5359604,5513085,5726346,5543868,5231519,5277288,5418414,5737528,5748643,5653830,5650067,5786780
 "40000","Oklahoma",6,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",605059,636131,662277,702564,687929,813252,780952,777262,873512,920093,888526,960792,929651,1097986,1054350,1114271,1147629,1190451
 "40000","Oklahoma",6,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",4550469,4708710,4730803,4846520,4749285,4917188,4580525,4739587,4854277,4624413,4343412,4316496,4488333,4641075,4694768,4542537,4506936,4601772
 "40000","Oklahoma",6,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",4117182,4197223,3966109,3954499,3887159,3912979,3814661,3713867,3487630,3487466,3418102,3522026,3474285,3548015,3518903,3428010,3405555,3507478
 "40000","Oklahoma",6,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",22919159,23491391,23509868,23669934,24549184,25194684,25874649,26676746,27196024,27412355,27401518,26650469,26609159,26242197,26521905,26415032,26257060,26424932
 "40000","Oklahoma",6,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",13819691,15619119,15116705,17002357,18269347,20999643,22259229,22931832,26448784,24641309,25820747,27795351,31007192,37138293,45360411,43970986,45921396,47044808
 "40000","Oklahoma",6,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",15385967,15970754,16391218,16652646,17196997,18228960,18289143,18291469,17116840,17825817,18671534,20131551,20756754,21347677,21314206,20562174,20550441,20935128
 "40000","Oklahoma",6,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",7357702,6932641,7197328,7586651,7671862,8181011,8575375,9027385,7846228,8538193,9622727,11420303,11947659,13422497,14221348,14275677,14376533,14783475
 "40000","Oklahoma",6,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "40000","Oklahoma",6,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",35226345,35071786,36286648,38162377,40234567,45260508,45841570,49430662,49604542,46563381,48906672,52202044,54843024,61597390,68247421,63762143,65492890,68040907
 "40000","Oklahoma",6,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",71326806,73160132,74016479,76367715,79082802,82901543,84482032,85766087,82670619,85288399,88871423,94631228,96143881,99921021,101492320,99391136,99692594,102205865
 "40001","Adair, OK",6,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",423872,441425,421924,392792,447528,462888,450699,420772,392911,454272,442780,418827,413410,402246,430694,424679,419065,408031
 "40001","Adair, OK",6,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",337530,355472,336355,308871,359471,370102,351620,318284,292534,355341,351742,328089,320421,311091,344698,346359,360146,347061
 "40001","Adair, OK",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",(D),(D),(D),53043,(D),(D),22365,3264,5924,74745,66945,56695,67939,50666,87421,75999,77860,(D)
 "40001","Adair, OK",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",42,98,250,99,86,95,85,79,73,71,67,62,57,243,440,45,48,28
 "40001","Adair, OK",6,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",2875,2943,3082,2682,2586,2630,2503,2612,2613,2473,2591,2649,2731,2602,2705,3053,3091,2967
 "40001","Adair, OK",6,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",(D),(D),(D),13203,(D),(D),11200,9996,11938,14241,16825,19071,16718,14678,15770,20331,22332,(D)
 "40001","Adair, OK",6,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",114332,118481,133034,99725,128431,141396,136676,122915,92052,92068,93342,84892,77629,84432,82422,83301,86476,83994
 "40001","Adair, OK",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),52380,47163,58864,56541,56953,58384,53095
 "40001","Adair, OK",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32513,30469,25517,25814,26271,27969,30759
 "40001","Adair, OK",6,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",4849,6344,5792,4602,(D),(D),(D),(D),6292,7605,6832,6259,5125,5962,6999,7581,8800,8728
 "40001","Adair, OK",6,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",26268,27686,24063,18867,20708,22123,21372,21131,20951,21353,20942,20793,20631,21360,22037,23178,28403,31390
 "40001","Adair, OK",6,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",(D),(D),(D),(D),9193,12326,11508,10214,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",2126,2150,(D),(D),(D),1718,1733,1376,1690,(D),(D),1769,2108,2100,2333,2484,2774,3036
 "40001","Adair, OK",6,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",39107,43299,42343,41977,40094,50607,55733,49344,51237,55602,59588,58660,56294,58416,58398,57318,55590,57391
 "40001","Adair, OK",6,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",(D),9804,9606,9906,9543,8537,8019,7490,7754,7798,8778,8846,7415,7474,7564,7589,6904,6749
 "40001","Adair, OK",6,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",(D),33373,32617,31930,30411,42054,47751,41876,43505,47787,50806,49814,48898,50977,50860,49735,48770,50817
 "40001","Adair, OK",6,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",12652,13300,17355,17393,20271,18546,20806,16475,14002,16056,18296,(D),(D),(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",5199,5288,4697,4393,4025,4127,4007,4049,3838,(D),(D),4346,4327,4366,4592,4350,4015,(D)
 "40001","Adair, OK",6,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",2762,2715,2676,3073,2799,0,2611,3287,2334,3333,4190,(D),(D),(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",5481,6028,10237,10227,13516,14167,14056,9138,7841,(D),(D),(D),(D),(D),(D),(D),(D),8503
 "40001","Adair, OK",6,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",19599,19118,19518,19334,18884,20085,21607,24188,25501,25544,27003,26660,26440,27626,29078,29253,26309,25265
 "40001","Adair, OK",6,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",94,93,119,161,172,177,782,1297,1340,1109,1090,909,959,989,994,1048,993,975
 "40001","Adair, OK",6,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",19461,18982,19357,19137,18678,19871,20817,22901,24170,24438,25915,25751,25481,26636,28085,28205,25313,24287
 "40001","Adair, OK",6,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",6926,7664,7527,7120,6803,(D),(D),(D),(D),23425,13377,7750,6365,6307,6404,6459,6374,6357
 "40001","Adair, OK",6,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",88,109,146,192,(D),(D),(D),(D),(D),(D),(D),5,0,21,33,72,103,104
 "40001","Adair, OK",6,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",7127,7873,7690,7217,(D),(D),(D),(D),(D),(D),(D),7745,6365,6287,6371,6390,6275,6258
 "40001","Adair, OK",6,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",15960,17220,16806,19118,19415,19687,17488,16283,15012,(D),(D),16838,16574,16830,15971,15496,16118,16405
 "40001","Adair, OK",6,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",86707,86066,85828,84253,88472,93145,98946,101781,99507,98786,91070,90739,92963,91112,86604,79513,61858,63468
 "40001","Adair, OK",6,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",(D),(D),(D),53203,(D),(D),22499,3370,6020,74816,67012,56757,67995,50920,87883,75907,77769,(D)
 "40001","Adair, OK",6,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",31291,34105,29895,23494,(D),(D),(D),(D),27248,28957,27775,27052,25754,27323,29036,30759,37199,40090
 "40001","Adair, OK",6,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",(D),(D),(D),(D),11770,14867,13933,12771,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",116624,120786,(D),(D),(D),143015,138334,124184,93735,(D),(D),86661,79733,86535,84736,85751,89188,86920
 "40001","Adair, OK",6,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",(D),(D),198572,173989,226452,217935,189021,153996,123590,180301,177170,160720,162347,150742,181217,179000,186673,164791
 "40001","Adair, OK",6,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",(D),(D),144626,139993,142818,159224,165726,163958,166146,175164,174630,167368,158065,160246,164142,167627,173839,180161
 "40003","Alfalfa, OK",6,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",162223,151217,170490,152514,151563,173037,152302,195257,153554,189474,254341,361973,332663,442841,423149,345852,314076,298710
 "40003","Alfalfa, OK",6,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",132548,122009,142549,125741,124135,144761,123747,166393,125497,155677,221657,329341,299532,408617,386116,303142,266679,250499
 "40003","Alfalfa, OK",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",70712,(D),86008,69243,73478,95454,(D),117075,63460,91925,78144,92084,56670,75988,70003,90509,90447,66819
 "40003","Alfalfa, OK",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",1680,2354,392,1012,1351,2625,1989,3380,4089,5143,69073,152403,154688,238993,222534,64174,18325,21588
 "40003","Alfalfa, OK",6,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",3138,3728,3374,3588,3218,3338,3274,3607,3282,3715,4001,5308,5957,5580,4670,6733,5954,4840
