GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41000","Oregon",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",136687458,139698065,145584920,152797819,158462815,167912230,171113533,173955064,166653184,169015797,173883137,174493141,175805068,181861008,191999012,200948186,208625773,216561514
 "41000","Oregon",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",113294700,116185534,122146940,129419007,135041037,143743452,146982130,149328528,141964156,144484420,148777335,150219404,151960235,157810571,167516400,175915395,183047661,190739010
 "41000","Oregon",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",3929986,4344335,4634155,4533366,4863979,5556505,4230163,4214438,4422146,3812787,3559085,3690431,3880929,4173108,4769101,5202683,4492557,4468204
 "41000","Oregon",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",483381,513315,532442,561317,532964,509478,576765,390834,354963,269747,233378,199330,209422,218496,227277,312002,317289,349560
 "41000","Oregon",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",1955032,2058361,1912383,2097337,1822535,1945300,1841085,2362310,2070373,2564453,3153128,3003391,2823843,2543889,2359683,2677644,2735117,2676191
 "41000","Oregon",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",8717460,8045580,7804204,8167707,8550426,9054705,9123920,8258085,6576572,5643231,5508717,6072638,6337126,6566344,6804619,7506886,8083700,8499470
 "41000","Oregon",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",12664906,14080412,16319095,19457992,20046232,22279284,23164362,25191404,23673851,25464727,28069521,26767798,27317254,27924574,29508311,30654894,31247140,33425778
 "41000","Oregon",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",8600304,9664693,11886869,14303522,14723096,16529120,17421924,19840516,17985211,20264610,22937928,22081594,22165217,22697100,23981669,25331800,25743642,27712361
 "41000","Oregon",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",5100171,5448801,4936623,5636975,5830948,6198996,6074644,5342088,5826981,5244573,5137530,4686204,5149465,5225622,5524419,5361008,5533686,5763658
 "41000","Oregon",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",9968106,10146047,10897192,11726821,12320621,12637909,13108606,13008335,11172415,11642380,11496654,11925832,10415568,10665783,11125319,11376481,11753533,11862869
