GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "44000","Rhode Island",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",45917504,47611079,49374297,51583183,52316290,53518175,52087395,50447106,50213593,51467454,51269094,51642022,52084594,52134163,53096517,53090736,52989335,53624875
 "44000","Rhode Island",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",38372661,39996821,41595236,43585837,44271344,45462388,44085893,42592827,42813171,44034286,43814479,44325861,44939399,45139474,46156240,46283527,46095582,46716549
 "44000","Rhode Island",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",179537,180755,168702,148421,145415,159680,117252,131572,139793,132249,111688,102544,97478,97206,122253,130123,129730,(D)
 "44000","Rhode Island",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",48459,60749,58545,69830,53354,44928,46339,47719,46029,28107,18402,24241,19387,43729,60004,54629,50863,(D)
 "44000","Rhode Island",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",685839,571099,601764,635580,605173,676153,656050,727836,688801,762214,747231,746612,760724,739558,766777,792617,801317,870920
 "44000","Rhode Island",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",2735053,2664761,2904878,2941536,2920331,2819972,2660715,2341018,2112897,2031904,1922116,1950593,1846177,1769025,1761533,1806811,1796976,1844402
 "44000","Rhode Island",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",4573564,4861546,4477073,4993042,4513246,5108557,4540502,4490546,3985086,4176398,4077844,4010973,4373114,4224767,4615616,4672883,4635339,4740708
 "44000","Rhode Island",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",2986242,3157151,2807908,3314642,3010305,3120086,3040093,3028383,2648087,2758121,2726594,2654900,2815830,2637414,2939888,3142740,3130683,3279969
 "44000","Rhode Island",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",1606030,1729770,1723546,1682712,1502552,2068262,1499713,1456297,1337004,1419736,1350689,1356073,1556731,1585413,1675615,1539279,1514569,1476614
 "44000","Rhode Island",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",2480788,2607238,2765165,2771860,2827122,2787671,2850882,2783473,2566299,2805135,2833008,2974514,3101522,3210516,3409219,3295171,3322381,3361139
 "44000","Rhode Island",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",2951728,3230077,3453739,3449235,3414348,3298616,3177973,3011108,2863345,2972679,2921866,2883807,2917418,2895857,2960673,2986046,3066485,3175493
 "44000","Rhode Island",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",755520,759010,803931,819305,848548,878106,830054,840069,800327,814209,837219,861510,825941,806420,803739,809972,824530,878857
 "44000","Rhode Island",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",1192233,1387984,1501136,1778492,1806093,1858680,1673523,1856841,1861432,1931745,1974137,1784639,1776124,1812022,1798928,1793741,1566082,1595756
 "44000","Rhode Island",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",9585639,9810542,10278637,10934809,11751794,11809235,12122203,10535059,12358892,12292517,12281952,12692569,12581195,12543690,12482280,12503552,12217455,12052493
 "44000","Rhode Island",1,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",3585801,3538824,3471806,3598777,3748468,4066789,4304878,3101652,4568536,4161495,4014137,4489211,4444759,4720412,4730366,4867120,4842350,4516994
 "44000","Rhode Island",1,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",5988732,6260752,6795779,7325564,7994194,7729645,7803363,7415581,7818153,8131645,8263628,8203358,8136549,7810219,7736929,7613867,7347794,7530998
 "44000","Rhode Island",1,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",4390865,4495796,5033180,5094537,5244907,5564541,5415394,5670252,5266830,5620707,5657746,5915819,6182222,6504748,6679579,6825484,7104674,7361818
 "44000","Rhode Island",1,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",2298042,2418033,2488331,2585636,2594881,2837424,2711011,2904832,2755242,2847570,2840976,2875367,2911126,3008035,3108689,3140793,3267151,3395326
 "44000","Rhode Island",1,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",1039674,1059529,1553474,1371137,1412232,1483310,1400844,1460335,1275298,1423735,1463723,1646606,1801988,2003648,2069370,2191447,2249578,2278541
 "44000","Rhode Island",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",1013276,981062,1042110,1145350,1243165,1249435,1305408,1307566,1237779,1349776,1353212,1393846,1469399,1496231,1505806,1502194,1593928,1688148
 "44000","Rhode Island",1,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",5517343,5834929,6030932,6297808,6458290,6636593,6543555,6816642,6984871,7157537,7095520,6991232,7056206,7114610,7265974,7146786,7073629,7137271
 "44000","Rhode Island",1,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",1351940,1366003,1404659,1493363,1485505,1528297,1537141,1614772,1718462,1769242,1771385,1677202,1665444,1694535,1734275,1677821,1663986,1656386
