GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48000","Texas",6,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1021889000,1041811003,1048298617,1102696257,1132796112,1210286775,1274302515,1275773586,1271435812,1301726735,1343790943,1411378717,1472103522,1523057194,1596361911,1600260157,1646264293,1712764025
 "48000","Texas",6,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",895977910,911753085,915630680,970251516,998245929,1073656780,1133908403,1131372428,1122988599,1150595710,1194286795,1259816342,1320679751,1371568186,1441913146,1441634251,1486400402,1552820728
 "48000","Texas",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",9838464,11833624,12869183,12705615,12684651,11681202,10025631,7798572,8514075,12004270,8716814,8217538,10582547,11007087,15036339,12695445,12641059,12584732
 "48000","Texas",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",107858949,120075504,101462716,98784848,99424586,113882193,126742223,123622486,146029116,121149453,128166264,158860885,172233477,195271477,220969139,203555464,216849693,229650808
 "48000","Texas",6,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",24010099,22660695,22479644,22873441,21895756,23558768,23409265,22798308,20616773,23209296,25362078,24615929,24282075,22767513,22904671,24248297,25764911,26471025
 "48000","Texas",6,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",65391643,63753860,63208206,58247720,59442609,62763342,67258121,67157655,61088113,58074005,58385490,63587904,65740012,68444535,70859796,71627634,70926793,72320831
 "48000","Texas",6,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",130361832,133762432,139482201,180923695,176506288,200008279,216427504,197331084,185937767,206061734,213766641,206104057,229525728,207202564,212619486,207431879,218240714,228574963
 "48000","Texas",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",41453618,44166443,45889906,56332569,62459713,75413805,79316423,86785354,76124690,83368342,94122401,95668887,100345851,101525733,95442557,95827172,101111800,107152754
 "48000","Texas",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",98634875,97136292,101672206,138853428,120943019,128980998,143226205,108804811,110880053,124296200,119794206,110435170,129377905,104865364,117333051,111276263,116720761,120898320
 "48000","Texas",6,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",69808462,68914329,71509544,79578935,85437359,90250306,97146855,100947969,91209328,99640031,105806371,116551761,119690087,125119516,129221676,126581764,126173979,128360938
 "48000","Texas",6,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",63197089,66069251,68041638,67609724,70713530,72697917,71234037,70384333,69691693,71401010,72092942,75322678,78466750,82191018,86416985,88573888,90977793,96603087
 "48000","Texas",6,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",43172025,36897569,37710819,41076199,42824188,45458679,45375370,47108049,43946227,46948612,47965972,50492090,47655432,49520819,51236611,50993444,53702431,56178557
 "48000","Texas",6,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",30208208,32422009,33548993,36486757,38259994,41058086,49876522,52879415,49182738,49670328,50135961,49328458,53847960,54694562,59617606,62424182,67228503,73451556
 "48000","Texas",6,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",141454087,142561490,143478440,142425467,153640445,159789391,163848348,163788936,167690761,174066231,183737630,192555267,197158513,208863013,214305520,221034789,224394489,231426291
 "48000","Texas",6,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",51787494,51959732,53431662,51912926,57142732,59124834,57043780,55440849,61920662,61692136,62718346,67522723,67917841,70125651,74439636,77417776,75961342,77811249
 "48000","Texas",6,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",89619814,90558240,89985947,90480928,96432044,100602594,106791516,108334728,105996229,112430268,120992088,125032544,129256849,138838034,139809257,143508023,148579350,153836632
 "48000","Texas",6,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",96485079,97297292,98165570,102964163,110156221,118022645,125717878,135544516,128005427,134717316,142429749,150573315,155092347,168463719,173992127,174629284,183830672,197253545
 "48000","Texas",6,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",65151578,66045310,65082891,66628343,69726977,74501153,77672291,85334382,80486230,84169183,88636133,93719949,95832026,101953460,106427291,108112882,111307851,119382222
 "48000","Texas",6,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",5465153,5925589,6386760,7097054,8410351,8919321,10298694,11021891,10612731,11517698,12387941,13991001,14538669,18702636,19212755,19514928,22675521,25687692
 "48000","Texas",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",25651818,25265366,26631604,29163953,32007270,34571120,37734047,39193784,36914797,39033141,41406160,42862365,44721379,47872161,48438082,47157404,50090625,52608054
 "48000","Texas",6,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",63954661,67634945,68877778,71294089,70997146,74243456,74920795,80202788,85829590,88526482,90945905,92472396,94377029,97856078,103989814,107322776,109430551,112624872
 "48000","Texas",6,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",7249081,7173606,7452326,7876409,7633529,7723145,7875918,8488960,9413011,9912767,10107288,10159337,10157175,10303882,10715605,11193605,11015810,11051495
 "48000","Texas",6,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",56753763,60440566,61423835,63434799,63360776,66498979,67028174,71698781,76412679,78616427,80839567,82313060,84222191,87561873,93295903,96143688,98456611,101639730
 "48000","Texas",6,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",37273389,38302339,39152744,39791377,39617391,42490657,42381292,41706713,40123324,41152077,42333808,43475626,44210108,48835965,51422849,51332149,51798613,53598409
 "48000","Texas",6,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",5292376,5818100,5983644,5806622,5729396,6014673,6090172,6173033,6636028,6565704,7038170,7265728,7763999,8482324,9115836,9829701,10506963,10881809
 "48000","Texas",6,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",32010392,32492140,33174869,34011623,33918848,36519343,36327631,35558945,33487897,34590095,35295917,36209899,36448881,40355100,42312669,41530485,41344211,42771493
