GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "50000","Vermont",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",23713508,24455375,25301346,26564258,26909447,27132367,26801546,27437235,26996579,28111036,28733346,28887352,28498628,28521777,28906494,29362902,29406598,29750259
 "50000","Vermont",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",20008284,20659312,21364520,22500591,22794341,22997919,22712471,23271805,22898480,24042725,24527323,24783103,24338302,24462971,24815220,25237922,25263698,25615727
 "50000","Vermont",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",492187,427236,428856,476325,560141,493680,504789,528809,462529,511781,497461,445751,490601,605501,557881,603196,592538,516804
 "50000","Vermont",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",217668,221024,264095,225116,237022,240087,215054,198515,257577,252482,222666,190782,200268,225888,283922,293013,331884,251963
 "50000","Vermont",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",501577,530741,505265,576220,535834,533673,564978,580498,625971,720311,657679,716393,736357,674632,675882,588438,567070,582201
 "50000","Vermont",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",1511120,1468771,1447625,1520002,1418659,1346882,1229758,1099114,1082220,1087744,1102648,1096809,1012781,936026,902961,903979,874705,865193
 "50000","Vermont",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",2444329,2445006,2569694,2732590,2723729,3068712,2650293,3010325,2583854,3113128,3270762,3388764,2709785,2656897,2784942,2718783,2796333,2883753
 "50000","Vermont",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",1644652,1651950,1766685,1866286,1875973,2087583,1677617,2010364,1794632,2295636,2412640,2618789,1920637,1803491,1816960,1785156,1821123,1887007
 "50000","Vermont",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",820553,809157,800831,871014,844305,988446,1023999,1027971,801709,820322,861035,769975,788755,852679,965752,931914,972732,994538
 "50000","Vermont",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",1252232,1330085,1489394,1518575,1486813,1435798,1431938,1416714,1304188,1417893,1453416,1476585,1481607,1458374,1503075,1580054,1520845,1541256
 "50000","Vermont",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",1945252,2078417,2179757,2280036,2330750,2259534,2168608,2162741,2069650,2103944,2105403,2047020,2109648,2130537,2188885,2261346,2337362,2407819
 "50000","Vermont",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",513047,515339,524851,553059,570121,567183,558999,545908,514154,523504,534350,517704,493348,490622,463915,457150,477256,476129
 "50000","Vermont",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",521639,578615,596694,692042,717597,692999,763299,916065,964430,975945,922813,856989,906323,877077,877589,912884,924304,921078
 "50000","Vermont",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",4013527,4147708,4254836,4402510,4646533,4664623,4935661,4765769,5069051,5251343,5431997,5498123,5446236,5615077,5541188,5626436,5400317,5455710
