GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "53000","Washington",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",305054796,310338078,316224143,322003442,343361953,356691188,378205080,382380455,372728413,381253386,387832403,400863279,411140644,425762466,444318461,459754336,483773411,511672438
 "53000","Washington",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",256490105,260558103,265865182,271371678,291274121,302909921,324135846,325974306,315739569,323996342,331027405,343004548,353941332,368421639,386773593,400762586,423252688,450600454
 "53000","Washington",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",5362858,6111468,6904586,6627859,7025088,7875249,7359229,7010409,7902563,7337095,7212348,7291213,7064268,7366533,9540118,9943552,9654747,9647847
 "53000","Washington",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",810252,773241,903473,790132,1101798,1322938,1109469,656766,622458,578178,489151,373862,411348,470331,473292,524318,545282,648859
 "53000","Washington",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",3439168,3412429,3483968,3676548,3410756,3623296,3393468,3539524,3317242,3640140,3858593,4021479,3903744,3702122,3665892,3911629,3991712,3938470
 "53000","Washington",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",16741373,15682422,15897361,16445138,17318443,17827061,19312760,17965179,14028885,12584357,11630526,12505067,13908541,14621278,15468762,16846241,17971110,18870847
 "53000","Washington",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",39042124,38792440,35824978,36050418,44632010,47304340,53039761,50650567,51469031,54832327,55223925,57623938,59391672,60813630,64006561,57361503,56330286,59026200
 "53000","Washington",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",27223078,24917963,23386585,24129499,29060863,33408838,38070925,37413385,37330523,40913748,43627309,47181689,48157210,49600792,51027390,43927775,42074297,43967185
 "53000","Washington",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",12339078,15638536,13846062,12991880,17315801,14712179,15670179,13573130,14695168,14189674,11635136,10442249,11245649,11206705,13060360,13737524,14705662,15538441
 "53000","Washington",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",18706429,18551179,19563787,20615644,21405321,22062770,22830740,23031542,20406653,21698009,22080405,22761796,23242721,24085742,25189153,25308776,25999671,26469827
 "53000","Washington",8,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",20715323,21499511,22684123,23381777,24621242,25427624,25351707,24885801,23573385,24687007,25414864,26295773,28132975,30026742,32578039,36844014,42197131,45765260
 "53000","Washington",8,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",8770804,8497227,8761683,9626483,10130938,10707490,10714121,10573462,10443186,11178329,11095110,11200722,11149972,11298278,11594078,12264709,12983148,13450597
 "53000","Washington",8,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",21790835,22950558,24363804,24900201,26932259,27893923,33400989,35293787,34630462,34472789,37301136,40254501,42850312,46704220,49137449,55662682,62593217,72815079
 "53000","Washington",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",52282196,53396841,54665441,54258259,57103473,58709028,63106863,64581520,65292988,65061327,66280863,67380365,68452753,71214077,73976108,76761033,80096304,83450059
 "53000","Washington",8,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",11974462,13512963,14472068,13887361,14705927,14792282,14811805,14505945,15873771,14909206,14827537,15418820,14249534,14506902,15293941,15728442,15790459,16440985
 "53000","Washington",8,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",40313718,39876048,40179332,40366323,42390670,43915175,48305900,50085546,49484189,50159111,51448049,51961544,54220199,56740006,58702196,61064102,64393152,67101795
