GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "55000","Wisconsin",3,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",236113003,240995649,247867018,256002607,262160796,266471341,267936052,264632066,257142573,264841135,270372493,274343940,276189542,282078933,287164320,290750202,294657127,301622690
 "55000","Wisconsin",3,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",205200361,209604282,215845434,224076062,230236748,234536948,235750781,231967010,224080062,231719659,237555313,241374921,244582238,250523431,256457976,259828443,263682398,270726583
 "55000","Wisconsin",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",4598775,4674215,4767320,5132582,5299961,5501030,5345541,4678253,4440771,5126270,5354989,4945857,5276619,6047434,6780435,6613605,6451202,6167413
 "55000","Wisconsin",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",852691,885500,918384,972014,763682,808813,695700,601811,592203,664221,505299,489103,718272,1420899,2503752,1330707,1527334,2216412
 "55000","Wisconsin",3,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",3903041,3944660,3930277,4195171,3908568,4114722,4194182,4730328,4260075,4742145,5051982,5153327,5190204,4931531,4830170,5103865,5025874,5009972
 "55000","Wisconsin",3,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",13700529,13180917,13298452,13456937,12742170,11665694,11296319,10688785,9622078,8890296,8602090,8977108,9400244,9588755,10060812,10347334,10650693,10855955
 "55000","Wisconsin",3,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",46402856,46555125,48180519,50518108,51640011,55156680,54827612,51075008,45553196,49724470,52111405,53925501,54703309,54664062,54106164,53496312,54770662,56922095
 "55000","Wisconsin",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",24449466,24223769,26295358,27556562,29013615,31085779,31032102,29547369,23659969,27631055,31127256,32471679,33510758,32157214,31962920,30925411,32166917,33304077
 "55000","Wisconsin",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",22313054,22760581,22066411,23155032,22621855,24045726,23746917,21395547,22033210,22145605,20986022,21453822,21192235,22508346,22145023,22561911,22605588,23617687
 "55000","Wisconsin",3,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",14107644,14558512,14863944,15720881,16360059,16557082,16678921,17119048,15310965,15905590,15950916,16355979,16935095,17310771,17957630,18259658,19006589,19202490
 "55000","Wisconsin",3,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",15898977,16688514,17326971,17107236,17027791,17004489,16207286,15867129,15276158,15162444,15322954,14881419,15598920,15769211,16269750,16877102,17460646,18129166
