GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "56000","Wyoming",7,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",29240659,29875486,30612340,31529703,33120755,37526662,40334887,42632543,41385372,39801361,39395508,38431716,38503924,38717568,39722980,38052902,37997098,38040029
 "56000","Wyoming",7,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",25016370,25486677,26049040,26928043,28482856,32776853,35263887,37313277,36013643,34379881,33988428,32894198,32827390,33056070,34194683,32484802,32495467,32631707
 "56000","Wyoming",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",646127,523754,645402,585991,652618,681595,437000,553946,693325,701585,819652,562366,700053,810427,913606,965428,886654,907405
 "56000","Wyoming",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",8687032,8987612,9193841,9722227,10647159,13194071,13656629,13873125,14821358,12775351,12172920,10146899,10328550,10034949,10182505,9874715,10460062,9758113
 "56000","Wyoming",7,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",592274,638542,627845,656727,630566,666349,706395,762800,764024,874371,913590,959666,945409,873461,886698,964158,947382,945899
 "56000","Wyoming",7,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",1842717,1837442,1778508,1655580,1695625,1886562,2120192,2327860,2034774,2017025,1886271,2031483,2023184,2075314,1911256,1677036,1613673,1604427
 "56000","Wyoming",7,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",2473968,1816092,2073290,2255214,2215983,2555364,3664437,4536902,2279660,2265867,2201797,2491522,2020574,1885822,2568560,2114641,2184472,2257216
 "56000","Wyoming",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",284284,283777,285446,323021,334677,341325,387073,433221,378040,384156,427350,442610,416599,439724,454897,394404,419136,462949
 "56000","Wyoming",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",2333456,1560257,1857999,1997505,1934001,2295143,3428673,4305450,1917693,1893261,1773610,2048912,1600064,1434075,2130543,1726499,1766247,1786747
 "56000","Wyoming",7,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",999014,1036584,1085948,1135669,1202838,1350803,1456653,1560478,1330390,1395504,1422916,1599065,1643044,1765628,1688792,1514390,1404626,1410231
 "56000","Wyoming",7,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",1593507,1721584,1758114,1680778,1819741,1945998,2062027,2144295,2058128,1918541,1965395,2011392,2016265,2014259,2058278,2059089,2048975,2062858
 "56000","Wyoming",7,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",1592243,1578246,1732402,1912421,2067666,2346366,2438386,2585021,2408055,2502325,2368550,2511112,2564096,2725161,2951262,2777072,2841806,2951310
 "56000","Wyoming",7,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",249703,289983,316389,355741,378782,416956,464862,516180,554416,570598,569847,556254,589328,573865,647658,675029,692529,709013
 "56000","Wyoming",7,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",2842297,3064625,2937151,3080357,3260717,3399954,3768165,3907409,3967721,4165676,4371627,4649567,4630148,4867158,4958489,4738869,4458911,4582713
 "56000","Wyoming",7,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",764391,813897,739961,711801,767188,817894,904676,910868,918958,863198,906094,933523,856213,966571,911564,849384,812128,804233
 "56000","Wyoming",7,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",2082692,2256086,2203020,2376288,2501409,2590017,2872305,3005432,3057177,3303308,3466395,3716044,3773732,3900423,4048484,3892956,3648565,3784970
 "56000","Wyoming",7,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",1129037,1212937,1185190,1128727,1123066,1242955,1419659,1556594,1561328,1546032,1597549,1674954,1699213,1754454,1719190,1602199,1659429,1783544
 "56000","Wyoming",7,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",787417,861901,811782,791395,807000,872112,942667,1058611,988443,1000698,1023878,1070324,1056107,1123506,1085588,1019246,1050026,1129835
 "56000","Wyoming",7,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",84571,116795,122417,118946,118801,131155,116716,115796,105925,127359,126259,148439,158961,139825,142507,124744,122149,129000
 "56000","Wyoming",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",249311,235281,251351,220647,200648,242704,361124,383217,466593,418076,447436,456191,484177,490660,490681,457435,485462,522546
 "56000","Wyoming",7,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",1058107,1129164,1180417,1246461,1283227,1356844,1405204,1548591,1581350,1614265,1633534,1663373,1658088,1651421,1666832,1665882,1655409,1708238
 "56000","Wyoming",7,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",69445,80916,76097,83586,81555,86928,88431,91670,101887,106126,108404,104850,107559,102883,98025,99630,99651,99856
 "56000","Wyoming",7,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",988755,1049323,1104340,1163257,1201655,1269946,1316712,1456573,1479416,1508161,1525177,1558523,1550496,1548637,1569182,1566533,1555994,1608858
 "56000","Wyoming",7,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",971923,1041460,1085457,1165097,1178177,1395322,1360853,1370130,1283016,1283162,1347097,1393353,1384147,1401193,1433548,1365898,1394680,1448610
 "56000","Wyoming",7,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",195806,167884,174865,176257,172819,187417,200800,206712,207567,228162,240620,255067,243540,267873,242983,235800,243831,250627
 "56000","Wyoming",7,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",774170,872943,909937,988817,1005626,1208974,1160487,1163769,1075633,1055035,1106506,1138286,1140540,1133638,1190172,1129844,1150712,1197702
 "56000","Wyoming",7,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",599773,641913,595468,575975,588388,676213,718120,690187,643954,632795,627516,643192,607669,574790,560142,516255,505148,525759
 "56000","Wyoming",7,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",4245649,4402033,4569172,4616164,4659317,4765992,5087509,5334189,5382256,5418655,5404336,5537518,5674697,5661553,5553513,5545796,5488996,5409848
 "56000","Wyoming",7,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",9378564,9500945,9861325,10310020,11302350,13908504,14178983,14491835,15559833,13494605,12986253,10709265,11031037,10849139,11109329,10864222,11363995,10678554
 "56000","Wyoming",7,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",2598811,2767836,2852025,2817764,3025439,3296979,3517801,3702040,3389198,3313968,3388246,3610457,3659373,3780340,3747506,3573961,3453324,3472737
 "56000","Wyoming",7,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",2190683,2232240,2364839,2567325,2681934,2985857,3119056,3322018,3154182,3369154,3282423,3470778,3509629,3597264,3834881,3739015,3787353,3895595
 "56000","Wyoming",7,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
