GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US01003,01003,"Baldwin County, Alabama",70427,2608,3858,1319,3591,1051,4133,986,4062,1067,4592,1352,6048,1243,5028,1186,3980,1037,3894,849,5956,1303,7473,1572,7456,1398,4739,1086,2045,648,1889,704,1683,567
0500000US01015,01015,"Calhoun County, Alabama",46503,1424,5531,1226,3593,923,3627,937,3489,733,3636,1032,2915,865,2107,688,2033,572,2517,682,4099,845,4367,904,4384,865,2065,657,873,407,760,435,507,327
0500000US01043,01043,"Cullman County, Alabama",30953,1300,3727,904,2943,825,1839,560,2990,840,2488,817,1945,681,1726,625,1543,515,2076,912,2197,608,2612,953,2116,564,1184,433,509,359,586,274,472,301
0500000US01049,01049,"DeKalb County, Alabama",24321,1056,3335,952,2966,826,1598,670,2191,742,1817,591,2300,684,1748,691,781,362,1315,569,1321,533,1754,586,1898,562,810,476,338,260,114,109,35,49
0500000US01051,01051,"Elmore County, Alabama",25334,1016,1783,675,1342,435,1740,686,1103,541,1408,597,1401,594,589,267,1565,604,1152,609,3134,713,3425,835,3182,801,1884,550,810,391,518,298,298,238
0500000US01055,01055,"Etowah County, Alabama",43335,1402,5962,1185,4235,1113,3653,707,3840,939,2497,706,3652,1036,2434,652,2471,813,1287,427,3467,1063,3227,797,3646,769,2195,715,295,190,309,206,165,175
0500000US01069,01069,"Houston County, Alabama",36076,823,3793,538,3097,477,3166,491,2578,484,2556,418,2321,472,1621,316,1842,387,1510,363,2909,598,2954,466,3560,593,1728,391,680,210,1091,329,670,191
0500000US01073,01073,"Jefferson County, Alabama",263698,3683,25185,2231,19163,1805,18024,2379,17187,2070,16517,1794,15674,1947,14350,1746,14065,1834,11570,1606,22877,1907,25031,2409,26028,2122,15242,1748,7185,1242,6929,1153,8671,1267
0500000US01077,01077,"Lauderdale County, Alabama",35704,1331,4403,1121,3508,936,2379,681,2566,772,1767,560,1800,680,2315,837,1844,727,846,379,1894,580,3663,1060,4485,976,2378,745,862,453,251,228,743,377
