GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US01003,01003,"Baldwin County, Alabama",69338,3029,3946,1214,4881,1436,2866,896,5144,1389,4389,1301,3800,876,3753,1163,3600,1211,2911,953,6099,1151,5722,1158,9088,1866,5619,1043,2709,751,2585,652,2226,657
0500000US01015,01015,"Calhoun County, Alabama",46785,1302,6033,1236,3691,839,3485,822,3508,798,2532,680,2613,777,3034,823,2003,653,1898,693,3425,920,4653,950,5177,1110,2753,807,469,227,1077,478,434,317
0500000US01043,01043,"Cullman County, Alabama",31269,1177,2652,906,2739,694,2865,779,2531,732,1831,566,2164,752,1064,520,1028,411,1820,740,3570,965,3103,838,3063,770,1707,599,373,169,372,240,387,280
0500000US01049,01049,"DeKalb County, Alabama",25102,1229,2745,858,1951,716,2492,772,2299,874,1652,631,1295,568,1010,491,1890,752,1618,644,1659,679,2017,679,2088,620,1185,601,510,506,190,183,501,453
0500000US01051,01051,"Elmore County, Alabama",25245,1013,1015,358,1132,525,1734,645,1582,659,1615,583,1934,607,1500,598,1161,403,1068,474,2319,716,3235,917,3367,730,1220,436,975,388,975,466,413,242
0500000US01055,01055,"Etowah County, Alabama",43237,1288,4807,898,3875,905,3989,1081,2452,680,3642,944,3030,896,2027,777,3411,938,1446,608,3113,835,3631,790,3484,770,2278,652,1294,563,398,267,360,191
0500000US01069,01069,"Houston County, Alabama",36296,892,3425,514,2687,453,2663,476,2714,455,2492,385,2375,416,1690,349,1691,397,1580,318,2829,501,3294,493,3691,536,2470,460,1152,299,800,259,743,208
0500000US01073,01073,"Jefferson County, Alabama",267097,4008,25225,2212,15143,2013,17333,2259,16511,2376,15205,1927,14518,1836,14238,2114,15592,2025,11811,1992,22306,2519,23767,2271,30245,2425,17264,1854,9514,1504,8602,1176,9823,1387
0500000US01077,01077,"Lauderdale County, Alabama",36555,1331,4676,890,3087,820,2924,695,2950,806,1833,547,2047,663,2226,711,2194,612,916,534,2249,700,3726,810,2924,755,1706,547,1402,595,644,340,1051,490
0500000US01081,01081,"Lee County, Alabama",55735,1322,6841,1116,4166,1014,4196,971,3181,866,3968,1250,2998,947,2782,870,2431,677,2118,615,5314,1147,5452,1116,5814,852,3372,803,1192,396,1335,424,575,356
0500000US01083,01083,"Limestone County, Alabama",25877,888,1549,549,1404,653,1957,697,1717,592,1198,537,2078,660,1222,641,1395,392,1272,557,2472,688,2958,679,3361,771,1559,498,793,309,678,307,264,196
0500000US01089,01089,"Madison County, Alabama",122971,2435,8095,1446,7541,1499,6859,1396,6245,1180,6208,1387,6042,1312,6658,1410,6045,1122,6195,1067,8427,1301,12340,1590,15542,1583,10487,1417,6239,1277,6634,962,3414,761
0500000US01095,01095,"Marshall County, Alabama",33737,1229,3801,1088,3365,905,3081,895,2627,894,2525,860,1712,626,1902,641,1297,621,1534,593,2748,780,3213,746,2278,619,1559,572,728,387,861,349,506,263
0500000US01097,01097,"Mobile County, Alabama",153894,2767,19914,2269,13696,1771,9681,1709,8836,1334,11363,1974,9284,1739,8735,1580,8341,1280,6102,1180,10818,1457,16214,2089,15290,1839,7612,1160,3104,808,2319,584,2585,670
0500000US01101,01101,"Montgomery County, Alabama",89022,2095,8078,1184,8238,1311,4860,1137,5707,1301,4871,1286,4923,1205,6675,1443,3968,998,2940,773,6604,1295,8071,1385,11375,1466,4385,959,3232,832,2262,554,2833,663
0500000US01103,01103,"Morgan County, Alabama",45714,1372,2895,893,3443,971,3225,999,3367,1057,2599,734,2229,636,3141,805,3226,926,2237,739,3905,848,4603,969,5362,1076,3062,873,775,398,1125,490,520,363
0500000US01115,01115,"St. Clair County, Alabama",26442,1708,1780,799,1397,523,1336,512,1763,660,1637,667,1551,602,1394,628,902,484,1067,535,3375,1051,3148,878,3982,1063,1453,489,741,390,465,269,451,353
0500000US01117,01117,"Shelby County, Alabama",70193,1379,2767,963,1926,643,2652,809,2834,739,3578,1018,3748,878,3203,1045,3804,949,2223,728,5798,1126,7248,1051,10008,1413,7319,1226,5767,1020,3650,822,3668,713
0500000US01121,01121,"Talladega County, Alabama",31545,1313,4512,1028,2627,866,2511,801,1470,604,1340,568,1717,701,1775,772,1664,611,1753,642,3468,896,2596,817,3054,902,1514,554,765,468,520,318,259,189
0500000US01125,01125,"Tuscaloosa County, Alabama",72270,1658,8997,1346,6136,1316,3616,1057,4514,1035,3316,1010,4721,1037,4385,1047,2883,816,2471,869,6718,1106,6424,1020,9076,1464,4659,952,1618,533,1355,504,1381,416
0500000US01127,01127,"Walker County, Alabama",26030,1209,3478,785,2720,823,1346,559,2569,737,1389,627,1686,632,1232,389,1205,435,874,331,1882,585,2337,775,2499,719,1446,616,671,357,333,206,363,256
0500000US02020,02020,"Anchorage Municipality, Alaska",102942,1646,3026,899,3889,960,3063,928,4116,1156,3972,908,4064,1034,4462,1041,4452,1052,4105,1239,9161,1696,11244,1784,17135,1790,12201,1577,6002,1283,6942,1232,5108,953
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",33673,1260,1798,703,981,450,720,464,1412,585,1380,689,1656,762,885,463,1657,624,1498,762,3360,966,4415,880,6107,1301,2667,770,2573,751,1416,588,1148,512
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",22097,693,945,377,935,355,842,269,920,303,908,284,1072,315,648,292,964,301,862,312,1654,425,3123,545,3482,493,2060,422,1844,484,1217,457,621,304
0500000US04001,04001,"Apache County, Arizona",19102,1112,3752,614,1980,477,1203,442,1362,487,1166,440,672,286,1375,556,751,437,896,368,1073,391,1648,563,2319,615,649,296,107,91,19,35,130,170
0500000US04003,04003,"Cochise County, Arizona",48054,1614,3923,1021,2609,744,2878,896,3647,856,3188,776,3254,745,2539,646,2164,745,2351,646,4703,1156,4588,985,6439,1047,3071,741,1201,554,965,374,534,375
0500000US04005,04005,"Coconino County, Arizona",43142,2011,3826,1145,2499,783,1427,582,2794,963,2478,793,2045,731,2547,927,1942,678,2151,844,3753,1044,5040,1035,4853,1006,3745,983,1541,633,1319,497,1182,639
0500000US04013,04013,"Maricopa County, Arizona",1338558,7741,76117,4253,60068,3815,63115,4191,69007,4224,69313,4255,74586,4448,63817,4047,68267,5084,64003,4163,116993,5176,149295,6047,179622,6708,110299,4629,60769,3737,55807,3603,57480,3563
0500000US04015,04015,"Mohave County, Arizona",73479,2816,4649,1283,3860,829,4823,1119,5388,1353,6343,1612,6109,1390,5579,1317,4647,1279,5326,1492,6241,1492,5774,1105,7694,1497,3177,994,1151,532,1108,478,1610,671
0500000US04017,04017,"Navajo County, Arizona",34597,1987,3673,869,2728,782,1889,528,2687,833,2741,803,1593,538,1866,799,2277,725,1244,575,3048,881,3164,885,4256,1054,1944,769,1001,526,258,187,228,185
0500000US04019,04019,"Pima County, Arizona",374739,4285,30783,3069,23464,2335,22684,2920,24321,2538,26020,2960,23805,2322,23406,2516,17772,1901,16391,2202,31869,3165,35794,2869,39992,3286,23299,2219,12839,1376,11978,1804,10322,1324
0500000US04021,04021,"Pinal County, Arizona",111399,2984,8106,1479,4955,1143,5227,1417,5421,1263,6887,1558,6403,1573,5044,1390,7370,1728,5967,1427,10617,1846,15454,1765,15653,1741,7363,1303,3531,1069,1873,564,1528,495
0500000US04025,04025,"Yavapai County, Arizona",85295,2988,5292,1474,5689,1467,3557,978,6894,1565,5170,1422,5430,1133,6369,1530,4795,1352,4475,1110,8906,1444,7417,1386,10526,1709,4468,849,2442,890,2238,693,1627,675
0500000US04027,04027,"Yuma County, Arizona",70173,2442,4528,1058,3856,982,5482,1153,5719,1470,4956,1236,5002,1081,4980,1402,4511,1004,4160,1023,6706,1462,6680,1605,6067,1224,3323,928,2289,614,779,448,1135,560
0500000US05007,05007,"Benton County, Arkansas",73651,1933,3857,1161,4108,1102,4116,1012,3487,873,4141,1053,4815,1273,4936,1190,4798,1047,3707,924,6170,1136,7984,1335,8843,1373,4871,994,2777,691,2764,761,2277,648
0500000US05031,05031,"Craighead County, Arkansas",36011,882,3896,966,2705,873,2449,694,1588,494,2859,764,2712,772,1429,532,1221,428,1391,602,3545,768,3184,885,4186,977,2363,669,1457,593,378,244,648,347
0500000US05045,05045,"Faulkner County, Arkansas",38416,1119,3790,942,3342,877,2421,715,1579,566,2481,790,2136,734,1766,627,1893,732,1766,711,2972,837,4072,823,4229,871,3057,870,1215,495,648,288,1049,526
0500000US05051,05051,"Garland County, Arkansas",38741,1570,4367,1036,3561,830,3169,744,3274,980,2568,666,2455,660,2204,611,1711,567,1342,484,3492,984,3435,833,3533,776,1430,483,482,257,629,334,1089,418
0500000US05069,05069,"Jefferson County, Arkansas",29825,1230,4132,989,3054,783,2052,777,1893,696,1004,400,2367,724,1481,593,1909,697,1553,591,2319,631,3001,729,2827,809,933,401,540,303,607,406,153,151
0500000US05119,05119,"Pulaski County, Arkansas",151751,2702,12340,1872,9836,1304,9168,1639,8503,1548,9152,1535,9681,1624,8666,1517,8931,1679,6807,1430,12839,1720,15130,1790,16766,1907,9832,1503,4530,1169,4316,1131,5254,982
0500000US05125,05125,"Saline County, Arkansas",35126,1267,2071,667,1510,553,2059,667,1394,611,2208,639,1890,602,2243,675,2275,606,1875,591,3095,948,4742,1118,5029,881,2502,695,1170,397,441,246,622,315
0500000US05131,05131,"Sebastian County, Arkansas",47618,1040,4213,987,2707,737,4028,970,5420,1268,2376,658,2523,832,2569,787,2475,834,2614,766,3543,788,5418,1193,3115,857,2518,741,1917,628,1120,491,1062,547
0500000US05143,05143,"Washington County, Arkansas",75002,2052,7184,1385,4347,1134,3729,1036,5872,1418,4407,1019,4969,1276,4080,1141,5490,1324,2585,779,7676,1352,7138,1296,7982,1332,3852,950,1993,585,1824,664,1874,586
0500000US05145,05145,"White County, Arkansas",26721,1044,1928,596,2259,786,2031,563,2642,866,1586,595,2249,705,1494,526,1997,584,1070,422,1905,641,2356,570,2510,598,1222,597,609,369,573,318,290,215
0500000US06001,06001,"Alameda County, California",519809,4348,30897,2928,25245,2545,23165,2841,20840,2307,19081,1983,20803,2470,16471,2013,19917,2292,19824,2149,34777,2964,47498,3578,66962,4141,55242,3682,33399,2910,44315,3454,41373,2749
0500000US06007,06007,"Butte County, California",85845,1944,6847,1673,7310,1478,7796,1321,6778,1666,5598,1291,5568,1206,3378,904,5026,1143,3863,1003,6346,1234,8628,1549,8766,1447,2707,653,2761,767,2942,888,1531,547
0500000US06013,06013,"Contra Costa County, California",366428,3264,14623,2259,14286,1931,10999,1811,12885,2028,12764,2038,15177,1790,11510,1662,14174,2121,12182,2254,24760,3165,36675,2816,50613,3016,38764,3163,29874,2954,29408,2649,37734,3027
0500000US06017,06017,"El Dorado County, California",67506,1652,3064,1047,1510,604,2228,922,2226,757,3209,778,3523,1154,2093,832,4025,1017,2732,721,6151,1383,7905,1318,8263,1383,6719,1020,4823,996,4489,991,4546,856
0500000US06019,06019,"Fresno County, California",280493,2244,21240,2419,18710,2195,19286,2203,16434,1820,16568,1909,16620,2171,11470,1513,13736,2100,12570,2074,24295,2431,28088,2935,32826,2591,20778,2203,10941,1617,8762,1484,8169,1535
0500000US06023,06023,"Humboldt County, California",51902,1378,3716,1096,5229,994,3413,936,4678,1049,3821,893,4026,1053,2303,758,2806,811,2232,698,3414,1082,4739,1170,5306,949,2910,905,1526,640,756,301,1027,418
0500000US06025,06025,"Imperial County, California",46312,1628,5516,1347,5476,1404,3910,950,3250,875,3574,919,2527,873,1656,608,1815,719,1678,645,3803,941,4221,981,3901,948,2305,706,1041,472,1115,495,524,338
0500000US06029,06029,"Kern County, California",239662,2774,16386,2318,15326,1955,15386,1824,13188,1920,15754,2255,11282,1700,13491,1620,13702,1928,11405,2048,19713,2351,27649,2741,27972,2605,15954,1852,8653,1175,8064,1417,5737,1128
0500000US06031,06031,"Kings County, California",39014,972,2661,759,2010,800,2561,960,2341,609,2401,848,2423,726,2503,734,1626,580,1912,689,3004,891,4629,930,5476,1115,3107,894,1282,510,655,362,423,202
0500000US06033,06033,"Lake County, California",23326,1983,2271,1094,1281,583,1797,910,1014,512,1743,1026,1552,875,1890,927,1053,582,614,386,2242,757,2412,794,2175,764,1681,775,618,426,454,370,529,390
0500000US06037,06037,"Los Angeles County, California",3181903,9122,207569,7214,182532,6798,174550,5973,173591,6146,153485,7218,165025,8366,150986,6697,144414,6438,132705,5855,241905,7367,330788,8662,366103,9557,258012,7557,156534,6530,163595,5458,180109,6190
0500000US06039,06039,"Madera County, California",43355,1241,2090,814,2837,898,1935,623,3910,1120,3040,930,3218,972,2207,774,2453,831,1776,732,3699,931,4129,976,5794,1270,2420,670,1375,533,1151,492,1321,506
0500000US06041,06041,"Marin County, California",99627,2024,3715,1043,3072,734,2818,843,4068,1017,3194,920,3300,973,3525,1044,3773,925,2770,847,6207,1217,8185,1422,13483,1940,10115,1407,6297,1269,8524,1514,16581,1756
0500000US06045,06045,"Mendocino County, California",33482,1268,2788,797,1921,609,2526,861,2699,861,2027,632,2135,828,1454,657,1709,587,1527,584,2800,985,3493,909,4316,1086,1855,647,1153,480,523,313,556,287
0500000US06047,06047,"Merced County, California",73482,1809,5876,1418,4842,1236,5184,1262,5093,1343,5329,1088,3562,938,2760,917,4685,1145,4112,1002,6638,1400,6476,1419,7020,1295,5350,1126,3001,1148,1460,519,2094,662
0500000US06053,06053,"Monterey County, California",126010,2195,5869,1435,6416,1321,4451,888,6773,1393,5505,1108,6659,1288,6351,1363,5858,1145,6814,1234,10907,1703,13592,2091,17303,1886,10959,1570,6039,1018,6839,1385,5675,953
0500000US06055,06055,"Napa County, California",49069,1118,1343,559,1930,890,2260,767,3147,913,1344,490,2654,800,3254,1002,2479,902,1530,587,3477,793,5454,1168,5359,984,6039,1050,2054,550,3239,871,3506,882
0500000US06057,06057,"Nevada County, California",39708,1577,1521,543,2051,775,1288,523,1746,1021,2889,995,1354,563,1625,935,2886,836,1329,591,3672,885,5223,1129,5414,1032,4320,1233,1615,690,1641,564,1134,491
0500000US06059,06059,"Orange County, California",976713,3667,36054,2860,31321,2908,29874,2585,38309,3535,35778,3368,39796,3377,39517,3241,39213,2938,39043,2780,68877,4132,99867,4604,128592,4879,110289,5115,67280,4142,82637,4661,90266,4024
0500000US06061,06061,"Placer County, California",126847,1961,4103,1116,4138,999,5265,1364,5246,1194,5148,1105,5492,1360,4268,1026,6862,1546,5045,1286,10406,1763,11875,1461,21908,2122,11650,1515,8409,1353,9608,1423,7424,1320
0500000US06065,06065,"Riverside County, California",649863,5820,31890,3046,30502,2916,29490,2562,36601,2983,32334,2971,33607,2891,27501,2609,25932,2084,29534,2519,55421,3708,71259,4127,89889,4666,61546,3403,33095,2742,33449,2843,27813,2375
0500000US06067,06067,"Sacramento County, California",503357,4113,23545,2457,27728,2612,24764,2796,23333,2109,19002,2421,27711,2665,26537,3032,25339,2628,23824,2184,41826,3502,56411,3767,72320,3811,42161,3215,27274,2461,25280,2221,16302,1774
0500000US06071,06071,"San Bernardino County, California",592449,5294,27569,2247,29205,2687,26282,2693,28628,2783,29213,2949,32085,2817,30066,3258,31096,3185,29422,3543,47803,3635,70442,4664,82472,4451,54741,4313,30713,3011,26301,2517,16411,1925
0500000US06073,06073,"San Diego County, California",1045265,4859,50755,3278,46970,3394,46784,3433,48594,3753,44222,2900,49986,3605,46754,4005,49257,3094,42959,3621,77717,4440,113499,5548,138081,6169,101922,4522,60639,3750,65270,3873,61856,2917
0500000US06075,06075,"San Francisco County, California",321947,3762,21372,2175,18840,2079,14893,1790,14164,2216,11954,1915,10413,1661,11743,1674,11100,1757,10412,1733,22898,2501,25133,2474,37272,3223,30574,2592,19970,2117,25461,2438,35748,2688
