GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,I2LE001,I2LE002,I2LE003,I2LE004,I2LE005,I2LE006,I2LE007,I2LE008,I2LE009,I2LE010,I2LE011,I2LE012,I2LE013,I2LE014,I2LE015,I2LE016,I2LE017,NAME_M,I2LM001,I2LM002,I2LM003,I2LM004,I2LM005,I2LM006,I2LM007,I2LM008,I2LM009,I2LM010,I2LM011,I2LM012,I2LM013,I2LM014,I2LM015,I2LM016,I2LM017
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,NECTA Division Code,Urban Area Code,Congressional District (111th Congress) Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Estimates: Area Name,Estimates: Total,"Estimates: Less than $10,000","Estimates: $10,000 to $14,999","Estimates: $15,000 to $19,999","Estimates: $20,000 to $24,999","Estimates: $25,000 to $29,999","Estimates: $30,000 to $34,999","Estimates: $35,000 to $39,999","Estimates: $40,000 to $44,999","Estimates: $45,000 to $49,999","Estimates: $50,000 to $59,999","Estimates: $60,000 to $74,999","Estimates: $75,000 to $99,999","Estimates: $100,000 to $124,999","Estimates: $125,000 to $149,999","Estimates: $150,000 to $199,999","Estimates: $200,000 or more",Margins of error: Area Name,Margins of error: Total,"Margins of error: Less than $10,000","Margins of error: $10,000 to $14,999","Margins of error: $15,000 to $19,999","Margins of error: $20,000 to $24,999","Margins of error: $25,000 to $29,999","Margins of error: $30,000 to $34,999","Margins of error: $35,000 to $39,999","Margins of error: $40,000 to $44,999","Margins of error: $45,000 to $49,999","Margins of error: $50,000 to $59,999","Margins of error: $60,000 to $74,999","Margins of error: $75,000 to $99,999","Margins of error: $100,000 to $124,999","Margins of error: $125,000 to $149,999","Margins of error: $150,000 to $199,999","Margins of error: $200,000 or more"
"G0100030","2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",68096,5007,3744,3404,4938,3381,3491,3498,4103,4061,7062,6492,7553,3507,2315,2851,2689,"Baldwin County, Alabama",3456,1186,1151,953,1202,965,1010,918,1383,1079,1615,1265,1542,909,901,766,834
"G0100150","2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",45862,6663,3993,4129,2286,2442,2583,2497,1994,1634,3143,4711,4716,2332,1214,832,693,"Calhoun County, Alabama",1776,1232,1066,1069,732,764,806,882,620,562,822,1129,1014,696,632,436,483
"G0100430","2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",29666,3819,2178,2195,3250,1445,1680,2025,2678,1428,1539,1617,2733,1331,745,592,411,"Cullman County, Alabama",1543,1060,602,817,996,498,722,701,920,573,679,607,917,466,442,352,354
"G0100490","2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",25738,2404,2144,1962,2128,1817,2161,1663,1495,962,2884,2179,1489,1394,519,119,418,"DeKalb County, Alabama",1362,752,585,748,634,851,822,682,717,444,830,676,556,639,397,144,320
"G0100510","2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",28860,1425,1335,1112,1806,1755,2180,1236,1219,1333,2945,3426,3259,3210,1072,816,731,"Elmore County, Alabama",1646,612,572,462,585,659,698,511,585,703,749,977,953,777,500,424,394
"G0100550","2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",39731,4371,3032,3081,3643,2782,2162,3756,2346,2401,2391,3879,2613,1587,727,571,389,"Etowah County, Alabama",1516,971,683,851,923,737,656,943,630,816,730,1048,818,607,489,302,322
"G0100690","2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",40206,4312,2713,3202,3026,2591,2557,2208,1926,1788,3269,3512,4255,2429,1064,712,642,"Houston County, Alabama",1029,594,549,648,611,517,533,400,414,385,535,530,690,507,276,215,240
"G0100730","2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",257219,27489,16853,17874,16346,14210,15364,15726,13100,11517,20079,22525,23577,16056,9073,10378,7052,"Jefferson County, Alabama",3375,2696,1957,2108,1978,2157,1989,1810,2026,1431,2447,2452,2078,1924,1296,1512,1159
"G0100770","2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",38644,4482,3713,2439,2159,2544,2113,2315,2163,1249,2740,4049,4095,2557,618,720,688,"Lauderdale County, Alabama",1590,973,1113,705,592,738,773,776,661,570,999,1148,930,749,304,385,415
"G0100810","2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",55073,7005,5506,2718,4065,3264,2957,2316,3522,1731,3503,4967,5833,3231,2221,1358,876,"Lee County, Alabama",1489,1205,1199,794,1132,850,1064,824,933,494,842,973,1131,743,579,435,370
"G0100830","2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,"Limestone County, Alabama",31395,1826,1500,1838,1737,1620,1729,1948,1695,1667,2976,2929,4318,2517,1520,864,711,"Limestone County, Alabama",1157,774,571,620,658,501,696,660,577,745,722,781,972,754,643,386,328
"G0100890","2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,"Madison County, Alabama",129367,11397,6122,5644,7576,6753,6672,5977,5610,4874,9369,12321,14329,11407,7230,7332,6754,"Madison County, Alabama",2654,1609,1385,1206,1320,1242,1360,1149,1125,1142,1425,1605,1913,1519,1080,1258,1188
"G0100950","2010",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,"Marshall County, Alabama",35024,3401,2542,3029,2661,2785,1239,2123,2541,1723,2686,2351,4087,1754,1099,575,428,"Marshall County, Alabama",1547,789,867,911,945,972,605,740,861,627,664,693,1140,699,599,359,272
"G0100970","2010",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,"Mobile County, Alabama",153676,19689,10119,10504,9550,9659,9248,8072,6411,7643,14364,14963,12470,7768,5042,4642,3532,"Mobile County, Alabama",3013,2458,1222,1795,1729,1433,1612,1381,1141,1496,1995,2113,1631,1016,1042,949,899
"G0101010","2010",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,"Montgomery County, Alabama",88176,8595,7499,5508,5175,4813,4572,4825,5820,3903,6702,6586,9205,6014,3605,3326,2028,"Montgomery County, Alabama",2327,1583,1575,1206,1068,1302,1044,1106,1468,979,1379,1233,1282,1110,880,896,660
"G0101030","2010",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,"Morgan County, Alabama",45606,3711,2127,4137,2315,3321,2608,2986,1285,2724,4586,4595,5082,3038,1109,1406,576,"Morgan County, Alabama",1656,1051,658,1054,740,982,656,1089,530,972,975,973,1070,831,446,559,318
"G0101150","2010",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,"St. Clair County, Alabama",32583,1806,1910,1457,2072,1825,2000,2588,1345,1719,3062,3975,4625,2344,711,901,243,"St. Clair County, Alabama",1552,647,699,584,828,564,750,750,532,720,924,1037,1313,734,380,599,236
"G0101170","2010",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,"Shelby County, Alabama",72588,3803,3145,2194,4498,2107,4181,2459,3158,2634,5292,6741,12853,6561,4156,5467,3339,"Shelby County, Alabama",1866,979,926,677,1205,599,905,767,972,855,1072,1051,1562,1225,810,860,734
"G0101210","2010",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,"Talladega County, Alabama",30119,3342,2310,2693,2175,1777,3029,2393,1729,1626,2254,2605,2090,969,469,519,139,"Talladega County, Alabama",1488,1007,803,882,830,657,851,859,652,671,756,706,656,401,226,326,188
"G0101250","2010",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",66583,5580,5177,4164,3913,3536,4062,3998,3712,3350,4697,6942,7293,4339,2052,2239,1529,"Tuscaloosa County, Alabama",2168,1047,1056,994,1113,858,1013,832,1083,947,1209,1124,1198,954,577,640,543
"G0101270","2010",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,"Walker County, Alabama",23830,2176,2065,1776,2598,1749,1496,1484,1505,969,1749,2741,1583,928,425,267,319,"Walker County, Alabama",1333,618,671,599,855,603,543,557,607,553,678,731,488,399,268,217,192
"G0200200","2010",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",104993,3768,4384,3220,4226,4428,4442,3058,3361,3339,8355,11641,14825,11802,7783,8133,8228,"Anchorage Municipality, Alaska",2002,1058,1067,990,1180,1230,1049,872,947,846,1578,1722,1937,1407,1437,1444,1449
"G0200900","2010",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",37413,1786,1581,733,1345,2012,2841,2660,1784,913,2644,4631,5385,4026,2485,1770,817,"Fairbanks North Star Borough, Alaska",1464,806,734,449,653,772,961,811,715,685,916,1065,1203,1011,927,776,453
